"Bg"||"B"|||15|20|30|100|107|150|85|87|120|0|0|0|0|0|0|100|100|100|100|100|100|94|100|100|90|99|100|0.5|1.8|3|0|0|0|0|0|0.1|0|0.1|1|0|0.5|2|0.5|1.2|2|12|25.7|39.5|||||||60|72.5|85|0|0|0|1|2|3||||1.25|1.35|1.45||||1.75|1.8|2.06|2.65|0.01|0.21|0.42|0.09|0.12|0.14||||41.7|43.7|45.3|33|40.6|40.8|42|45|49|9|17|25|70|88|105|44|54|64|44|65|80|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|42.7|51.4|59.7||||15|22.5|30|5.6|5.8|7||||||||||17.8|28.5|34.1|||||||||||||||||||"Moderate"|"Moist"|"21851400"|"64440484"
"A"||"A"|||0|0|0|15|20|30|15|20|30|0|0|0|0|0|0|100|100|100|100|100|100|87|95|100|74|85|97|0.5|18.2|20|0|1.6|1.6|0|2.3|2.3|0|3.1|3.1|0|5.6|5.6|0.5|5.6|5.6|15|29.3|51.5|||||||40|52.5|65|0|0|0|1|4.5|8||||1.25|1.35|1.45||||1.58|1.68|1.74|2.65|0|0.21|0.42|0.16|0.19|0.22||||30.9|40.4|42.5|22.5|32.8|38.3|40|44|48|6|7.5|8.9|51|70|88|29|38|46|21|37|55|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|30.1|40|49||||21|39|58|5.6|6.5|7.3||||||||||10.1|20.4|30.8|||||||||||||||||||"Low"|"Moist"|"21851400"|"64440485"
"BCg"||"BC"|||100|107|150|130|152|152|30|45|45|0|0|0|0|0|0|100|100|100|100|100|100|94|100|100|90|99|100|0.5|1.8|3|0|0|0|0|0|0.1|0|0.1|1|0|0.5|2|0.5|1.2|2|12|25.7|39.5|||||||60|72.5|85|0|0|0|0.5|1.25|2||||1.3|1.4|1.5||||1.82|1.85|1.99|2.65|0.01|0.21|0.42|0.08|0.11|0.14||||38|42.5|44.1|32.9|40.4|43.8|40|44|48|9|17|25|69|86|103|44|54|64|44|64|79|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|41.7|50.6|58.9||||15|22.5|30|7.9|8.2|8.4||||||||||10.1|15.8|21.7|||||||||||||||||||"Moderate"|"Moist"|"21851400"|"64440486"
"C"||"C"||||18|||183|||165||0|0|0|0|0|0|100|100|100|95|97.5|100|75|85|95|30|47.5|65||68.5|||0.3|||4.7|||15.2|||29.8|||18.5|||21.5||||||||5|10|15||||0.5|0.75|1||||1.5|1.55|1.6||||1.57|1.62|1.69||4|23|42|0.14|0.16|0.18||||12.9|17.6|21.2|4.1|8|11.9|36|38|41|0|1.5|2.9|15|20|25|0|1.5|5|0|0|1|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|4|5.4|10||||2|6|10|6.1|7.3|8.4|||||||||||||||||||||||||||||||||"21851369"|"64440452"
"A"||"A"||||0|||18|||18||0|0|0|0|0|0|100|100|100|95|97.5|100|85|90|95|35|57.5|80||46.8|||4.7|||6.3|||8.3|||14.4|||13.1|||44.7||||||||7|8.5|10||||0.5|1.25|2||||1.4|1.45|1.5||||1.47|1.52|1.58||14|28|42|0.15|0.19|0.22||||19.3|22.1|24.4|4.6|6.6|8.6|39|42|44|0|1.5|2.9|15|20|25|0|1.5|5|0|0|2|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|4|4.6|8||||2|6|10|6.1|7.3|8.4|||||||||||||||||||||||||||||||||"21851369"|"64440453"
"Ap"||"A"|||0|0|0|8|10|20|8|10|20|0|0|0|0|0|0|100|100|100|100|100|100|84|92|100|69|81|95|4|22.1|30|0|3|4|0|3.5|5|0|4.1|5|2|6.2|8|1|5.3|8|6|27.9|52.9|||||||40|50|64|0|0|0|1|2|4||||1.15|1.33|1.5||||1.47|1.65|1.72|2.65|0.01|0.21|0.42|0.12|0.15|0.18||||32.1|40.4|42.8|22.3|28.6|37.9|40|46|53|6|7.5|8.9|48|57|66|25|32|39|16|27|43|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|35|47.5|60|35|40|60|15|25|35|4.5|5.5|6.5||||||||||16.5|28.1|40.1|||||||||||||||||||"Low"|"Moist"|"21851373"|"64440454"
"Bw1"||"B"||1|8|10|20|70|76|110|50|66|90|0|0|0|0|0|0|100|100|100|100|100|100|92|98|100|84|93|100|0.5|8.2|10|0|0.8|1|0|1|1.5|0|1.4|2|1|2.5|5|1|2.5|5|5|19.3|36.5|||||||60|72.5|85|0|0|0|0.5|0.75|1||||1.15|1.3|1.45||||1.46|1.61|1.68|2.65|0.01|0.21|0.42|0.12|0.15|0.18||||39.9|44.8|46.5|32|38.8|45.5|42|48|53|6|7.5|8.9|66|77.5|89|39|48|57|35|52|68|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|35|47.5|60|35|40|60|15|25|35|4.5|5.5|6.5||||||||||16.3|27.6|38.9|||||||||||||||||||"Moderate"|"Moist"|"21851373"|"64440455"
"Bw2"||"B"||2|70|76|110|120|127|180|50|51|70|0|0|0|0|0|0|100|100|100|100|100|100|91|98|100|82|93|100|0.5|8.9|10|0|0.8|1|0|1.1|1.5|0|1.5|3|1|2.7|5|1|2.8|8|5|21.1|40.9|||||||55|70|85|0|0|2|0.5|0.75|1||||1.15|1.3|1.45||||1.46|1.61|1.68|2.65|0.01|0.21|0.42|0.12|0.15|0.18||||41.9|44.4|46.5|29.4|37.5|45.5|42|48|53|6|7.5|8.9|62|77.5|89|36|46.5|57|31|50|68|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|30|40|50||||15|25|35|6.1|7.3|8.4||||||||||4.3|14.9|25.9|||||||||||||||||||"Moderate"|"Moist"|"21851373"|"64440456"
"C"||"C"|||120|127|180|203|203|203|76|76|100|0|0|0|0|0|0|100|100|100|100|100|100|87|99|100|74|94|100|0.5|8|10|0|0.2|0.5|0|0.5|1|0|0.9|2|1|2.5|5|1|3.9|8|20|52|84.3|||||||15|40|70|0|0|2|0.1|0.3|0.5||||1.15|1.35|1.55||||1.48|1.68|1.74|2.65|0.42|7|14|0.12|0.17|0.22||||20.4|30.5|38.2|8.1|21.7|37.8|39|46|54|6|7.5|8.9|26|46|66|8|23.5|39|3|24|46|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|25|40||||15|25|35|6.1|7.5|8.4||||||||||0|6.2|20.8|||||||||||||||||||"Moderate"|"Moist"|"21851373"|"64440457"
"Ap"||"A"|||0|0|0|8|10|20|8|10|20|0|0|0|0|0|0|100|100|100|100|100|100|84|92|100|69|81|95|4|22.1|30|0|3|4|0|3.5|5|0|4.1|5|2|6.2|8|1|5.3|8|6|27.9|52.9|||||||40|50|64|0|0|0|1|2|4||||1.15|1.33|1.5||||1.47|1.65|1.72|2.65|0.01|0.21|0.42|0.12|0.15|0.18||||32.1|40.4|42.8|22.3|28.6|37.9|40|46|53|6|7.5|8.9|48|57|66|25|32|39|16|27|43|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|35|47.5|60|35|40|60|15|25|35|4.5|5.5|6.5||||||||||16.5|28.1|40.1|||||||||||||||||||"Low"|"Moist"|"21851311"|"64440376"
