"Ochric epipedon"|0|0|0|10|13|23|10|13|23|"21855222"|"12178224"
"Cambic horizon"|10|13|23|140|160|168|117|147|158|"21855222"|"12178225"
"Argillic horizon"|10|30|45|61|127|172|51|97|162|"21855246"|"12178237"
"Ochric epipedon"|0|0|0|10|13|30|10|13|30|"21855246"|"12178238"
"Ochric epipedon"|0|0|0|28|38|66|28|38|66|"21855248"|"12178239"
"Albic horizon"|8|8|20|28|38|66|20|30|46|"21855248"|"12178240"
"Argillic horizon"|28|38|66|104|135|180|76|97|114|"21855248"|"12178241"
"Ochric epipedon"|0|0|0|10|20|30|10|20|30|"21855249"|"12178242"
"Cambic horizon"|10|20|30|56|71|152|46|51|142|"21855249"|"12178243"
"Ochric epipedon"|0|0|0|10|23|30|10|23|30|"21855250"|"12178244"
"Argillic horizon"|10|23|30|71|102|172|61|79|162|"21855250"|"12178245"
"Ochric epipedon"|0|0|0|10|18|30|10|18|30|"21855252"|"12178246"
"Argillic horizon"|15|41|45|86|105|117|51|64|102|"21855252"|"12178247"
"Ochric epipedon"|0|0|0|10|18|30|10|18|30|"21855272"|"12178248"
"Argillic horizon"|15|41|45|86|105|117|51|64|102|"21855272"|"12178249"
"Ochric epipedon"|0|0|0|30|38|43|30|38|43|"21855273"|"12178250"
"Albic horizon"|8|15|25|30|38|43|5|23|35|"21855273"|"12178251"
"Argillic horizon"|30|38|43|64|142|185|21|104|155|"21855273"|"12178252"
"Ochric epipedon"|0|0|0|10|15|23|10|15|23|"21855274"|"12178253"
"Aquic conditions"|40|58|75|122|183|200|82|125|160|"21855274"|"12178254"
"Cambic horizon"|10|16|31|120|132|140|89|116|130|"21855242"|"12178226"
"Ochric epipedon"|0|0|0|8|10|13|8|10|13|"21855243"|"12178227"
"Cambic horizon"|8|10|13|203|203|203|190|193|195|"21855243"|"12178228"
"Endosaturation"|0|0|0|203|203|203|203|203|203|"21855243"|"12178229"
"Aquic conditions"|0|0|0|203|203|203|203|203|203|"21855243"|"12178230"
"Slickensides"|10|13|30|200|200|200|170|187|190|"21855244"|"12178231"
"Cambic horizon"|10|13|30|200|200|200|170|187|190|"21855244"|"12178232"
"Ochric epipedon"|0|0|0|10|13|30|10|13|30|"21855244"|"12178233"
"Ochric epipedon"|0|0|0|8|13|18|8|13|18|"21855245"|"12178234"
"Cambic horizon"|8|13|18|51|74|91|33|61|83|"21855245"|"12178235"
"Slickensides"|8|13|18|51|74|91|33|61|83|"21855245"|"12178236"
