08/07/2006 00:00:00|"Edit notes"|"Nat'l Bull"|"Albedo"|"An albedo value of .36 was assigned to all components in TN because this is the average albedo for the earth and may be close to an estimated average for TN. Encyclopedia of Soil Science, 2005, online http://www.dekker.com"|"21855914"|"22170251"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Memphis soil is a minor component."|"21855914"|"22170252"
03/17/2006 00:00:00|"Edit notes"|"Nat'l Bulletin"|"Aspect"|"Aspect populated for this component to meet the requirements of National Bulletin 430-5-7.

This component was not inventoried in regard to aspect. So, the data are meaningless."|"21855914"|"22170253"
06/27/2011 00:00:00|"Edit notes"|"Forest productivity"||"JDS - Replaced null Component forest productivity site base curve with ""Unknown"" - code 9999."|"21855914"|"22170254"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Loring component makes up 95 percent of the map unit. Slopes are 3 to 8 percent. This component is on loess hills, uplands. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 16 to 41 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 21 inches during January, February, March, December. Organic matter content in the surface horizon is about 1 percent. This component is in the F134XY207AL Western Fragipan Terrace - PROVISIONAL, Western Fragipan Uplands - PROVISIONAL ecological site. Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. "|"21855915"|"22170255"
07/27/2016 00:00:00|"Edit notes"|"horizionation"|"C horizon"|"The horizonation of this pedon, as it appears in the component horizon table, has been changed from the original component pedon. The original C horizons are combined to form a BC layer, and structure is described that does not reflect massive structure described in the manuscript and in the pedon."|"21855915"|"22170256"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Loring, west component makes up 100 percent of the map unit. Slopes are 8 to 12 percent. This component is on loess hills, uplands. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 16 to 41 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 22 inches during February, March, December. Organic matter content in the surface horizon is about 1 percent. This component is in the F134XY207AL Western Fragipan Terrace - PROVISIONAL, Western Fragipan Uplands - PROVISIONAL ecological site. Nonirrigated land capability classification is 4e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. "|"21855916"|"22170257"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Providence component makes up 100 percent of the map unit. Slopes are 1 to 3 percent. This component is on stream terraces, alluvial plains. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 17 to 25 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 18 inches during January, February, March. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.   "|"21855910"|"22170244"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Gullied land is a miscellaneous area."|"21855911"|"22170245"
09/30/2005 00:00:00|"Correlation notes"|||"Name chane form Rough broken land to Gullied land to meet NSSH standards for naming miscellaneous areas."|"21855911"|"22170246"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aqualfs soil is a minor component."|"21855893"|"22170227"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Crowley component makes up 50 percent of the map unit. Slopes are 0 to 1 percent. This component is on stream terraces, alluvial plains. The parent material consists of loamy and clayey alluvium. Depth to a root restrictive layer, abrupt textural change, is 10 to 16 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3w.  This soil does not meet hydric criteria.   "|"21855892"|"22170225"
09/22/2014 00:00:00|"Miscellaneous notes"|"T Value"|"ovrd temp workload"|"A review of calculated values within in a single survey area showed that the same series of the same surface phase resulted in multiple calculated values, therefore one value was chosen to be representative, this value was keyed in as an override into all occurrences of this component for this survey area.  The original data value was reentered to change the source code to an M, indicating that this component was reviewed.  "|"21855892"|"22170226"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Calloway soil is a minor component."|"21855891"|"22170224"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Calloway component makes up 90 percent of the map unit. Slopes are 1 to 3 percent. This component is on terraces, alluvial plains. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 26 to 35 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 19 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. "|"21855913"|"22170249"
07/15/2014 00:00:00|"Miscellaneous notes"|"component"|"origin"|"Component was built utilizing component and horizon data from Phillips County, AR as it is the most complete dataset available."|"21855913"|"22170250"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Unnamed Hydric Soils soil is a minor component."|"21855912"|"22170247"
07/15/2014 00:00:00|"Miscellaneous notes"|"component"|"origin"|"Component was built utilizing component and horizon data from Phillips County, AR as it is the most complete dataset available."|"21855912"|"22170248"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Calhoun component makes up 90 percent of the map unit. Slopes are 0 to 1 percent. This component is on stream terraces, alluvial plains, alluvial plains. The parent material consists of loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is moderate. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 12 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   "|"21855890"|"22170223"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aqualfs soil is a minor component."|"21855889"|"22170222"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Calloway soil is a minor component."|"21855888"|"22170221"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Earle soil is a minor component."|"21855887"|"22170220"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855886"|"22170219"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Bowdre component makes up 90 percent of the map unit. Slopes are 0 to 3 percent. This component is on flood plains, alluvial plains. The parent material consists of clayey over loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is rarely flooded. It is not ponded. A seasonal zone of water saturation is at 21 inches during January, February, March, April. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 3w.  This soil does not meet hydric criteria.   "|"21855885"|"22170218"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Alligator component makes up 90 percent of the map unit. Slopes are 0 to 1 percent. This component is on stream terraces, meander belts. The parent material consists of clayey alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is low. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is very high. This soil is rarely flooded. It is not ponded. A seasonal zone of water saturation is at 9 inches during January, February, March, April. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   "|"21855919"|"22170260"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855918"|"22170259"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Alligator component makes up 90 percent of the map unit. Slopes are 0 to 1 percent. This component is on stream terraces, meander belts. The parent material consists of clayey alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is low. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is very high. This soil is rarely flooded. It is not ponded. A seasonal zone of water saturation is at 9 inches during January, February, March, April. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   "|"21855917"|"22170258"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855884"|"22170217"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Alligator component makes up 90 percent of the map unit. Slopes are 0 to 3 percent. This component is on backswamps, meander belts. The parent material consists of clayey alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is low. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is very high. This soil is rarely flooded. It is not ponded. A seasonal zone of water saturation is at 9 inches during January, February, March, April. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 3w.  This soil meets hydric criteria.   "|"21855883"|"22170216"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aqualfs soil is a minor component."|"21855946"|"22170288"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Arkabutla soil is a minor component."|"21855945"|"22170287"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Zachary component makes up 90 percent of the map unit. Slopes are 0 to 1 percent. This component is on flood plains, alluvial plains. The parent material consists of silty alluvium. Depth to a root restrictive layer, abrupt textural change, is 23 to 29 inches. The natural drainage class is poorly drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is frequently flooded. It is not ponded. A seasonal zone of water saturation is at 6 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 4w.  This soil meets hydric criteria.   "|"21855944"|"22170285"
10/12/2005 00:00:00|"Edit notes"|||"The Land Capability Class was changed from 5w to 4w to compare with adjoining counties."|"21855944"|"22170286"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Water is a miscellaneous area."|"21855943"|"22170284"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Udorthents component makes up 100 percent of the map unit. Slopes are 1 to 35 percent. This component is on terraces, uplands. The parent material consists of mine spoil or earthy fill. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Available water to a depth of 60 inches (or restricted depth) is very low. Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches.   Nonirrigated land capability classification is 7e.  This soil does not meet hydric criteria.   "|"21856010"|"22170364"
09/30/2005 00:00:00|"Correlation notes"|||"Name change from Spoil Bands to Udorthents to meet NSSH standards for naming miscellaneous areas.  Udorthents seemed to fit the concept of spoil material."|"21856010"|"22170365"
09/18/2014 00:00:00|"Edit notes"|"T Value"|"ovrd temp workload"|"A review of this component revealed that extensive data errors prohibit running the calculations for the interpretations listed in NB 430-14-3"|"21856010"|"22170366"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Providence component makes up 100 percent of the map unit. Slopes are 3 to 8 percent. This component is on stream terraces, alluvial plains. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 17 to 25 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 18 inches during January, February, March. Organic matter content in the surface horizon is about 2 percent.  Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.   "|"21856009"|"22170363"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855976"|"22170329"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Memphis component makes up 40 percent of the map unit. Slopes are 12 to 20 percent. This component is on loess hills, uplands. The parent material consists of loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is very high.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 2 percent. This component is in the F134XY001TN Northern Deep Loess Backslope Mesophytic Forest ecological site. Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.   "|"21855909"|"22170243"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Gullied areas soil is a minor component."|"21855908"|"22170242"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Loring component makes up 50 percent of the map unit. Slopes are 12 to 20 percent. This component is on loess hills, uplands. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 26 to 34 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 24 inches during January, February, March, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 6e.  This soil does not meet hydric criteria.   "|"21855907"|"22170241"
03/28/2014 00:00:00|"Miscellaneous notes"|"Performance data"|"crop yield/woodland"|"Performance data for cropland yield and woodland productivity and trees to manage is based on the most reliable historical data in the MLRA per State Soil Scientist's recommendations of use of the representative data in MS021 and MS149.  State soil scientist strongly prefers that the cropland yield and woodland performance data be populated in the new MRLA MU/DMU with the understanding that a future project is needed to investigate and update the data. 

There was a group teleconference phone call on 3-28-14 with SSS (Delaney Johnson) and the Asst. SSS (James Curtis) about this and then an email to summarize recommendations.  

Rachel,

Per our conversation concerning woodland productivity being adjusted or corrected in the database to meet a requirement identified through QA, we recommend leaving the data population. We do prefer to make like DMU data- the elements and values the same throughout respective MLRA. This may be done by selecting the survey area, which has the most reliable data, and use as the standard or baseline and match other soil survey areas within MLRA.
I would like for you to make an MLRA-wide data set and keep the tables in the database.

Thanks,

Delaney


Delaney B. Johnson
State Soil Scientist
USDA-NRCS
100 West Capitol Street
Suite 1321, Federal Building
Jackson, MS 39269
Ph:601-965-5205x 2121
Cell: 601-260-0307
Fax: 601-965-5162
Delaney.johnson@ms.usda.gov"|"21855954"|"22170304"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Memphis soil is a minor component."|"21855954"|"22170305"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Loring component makes up 93 percent of the map unit. Slopes are 3 to 8 percent. This component is on loess hills, uplands. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 18 to 38 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 27 inches during January, February, March, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. "|"21855953"|"22170302"
07/25/2016 00:00:00|"Miscellaneous notes"|"Mean Annual Precip"||"Mean Annual Precipitation set with a tighter range and lower overall precip than components. The MAP was set by the latest 30 yr data (ending 2010)"|"21855953"|"22170303"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Henry soil is a minor component."|"21855942"|"22170283"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Calloway soil is a minor component."|"21855941"|"22170282"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Loring component makes up 90 percent of the map unit. Slopes are 1 to 3 percent. This component is on loess hills, uplands. The parent material consists of loess. Depth to a root restrictive layer, fragipan, is 26 to 34 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 24 inches during January, February, March, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.   "|"21855940"|"22170281"
07/26/2016 00:00:00|"Miscellaneous notes"|"Pedon"||"Component pedon for this component is from the Typifying Pedon for the Clay County Soil Survey, in the ""Loring silt loam, 8 to 12 percent slopes, eroded"" map unit. It is adjusted to the depths described for the Loring silt loam, 1 to 3 percent slopes map unit."|"21855952"|"22170297"
08/27/2021 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Loring component makes up 92 percent of the map unit. Slopes are 1 to 3 percent. This component is on loess hills on uplands. The parent material consists of thick fine-silty noncalcareous loess. Depth to a root restrictive layer, fragipan, is 18 to 46 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately low.  Available water to a depth of 60 inches (or restricted depth) is high.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 19 inches during January, February, March, December. Organic matter content in the surface horizon is about 1 percent. This component is in the F134XY207AL Western Fragipan Terrace - PROVISIONAL, Western Fragipan Uplands - PROVISIONAL ecological site. Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. "|"21855952"|"22170298"
10/28/2008 00:00:00|"Edit notes"|"crop yields"||"All component yields have been removed at the request of Bill Craddock (MO Leader/State Soil Scientist)."|"21855952"|"22170299"
06/17/2014 00:00:00|"Edit notes"|"NB 430-14-3"|"calculation"|"Calculated T factor as per NB 430-14-3.  No overrides were authorized.  Used Pangaea Calculator."|"21855952"|"22170300"
09/01/2010 00:00:00|"Edit notes"|"NB 430-9-4"|"calculation"|"Calculated WEI-WEG, HSG, Concrete, Steel as per NB 430-9-4.  No overrides were authorized.  Used Pangaea Calculators.

Component Restriction was removed where no horizon data was populated in minor components to validate the restriction or depths.
"|"21855952"|"22170301"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aqualfs soil is a minor component."|"21855951"|"22170296"
09/06/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Lexington component makes up 100 percent of the map unit. Slopes are 3 to 8 percent. This component is on loess hills. The parent material consists of loess. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is moderately well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.   "|"21855939"|"22170280"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Iuka component makes up 100 percent of the map unit. Slopes are 3 to 8 percent. This component is on alluvial fans, alluvial plains. The parent material consists of loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is rarely flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 3e.  This soil does not meet hydric criteria.   "|"21855938"|"22170279"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855906"|"22170240"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Iuka component makes up 95 percent of the map unit. Slopes are 1 to 3 percent. This component is on alluvial fans, alluvial plains. The parent material consists of loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is rarely flooded. It is not ponded. A seasonal zone of water saturation is at 24 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 2e.  This soil does not meet hydric criteria.   "|"21855905"|"22170239"
03/18/2020 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"The Iuka component makes up 95 percent of the map unit. Slopes are 0 to 1 percent. This component is on alluvial fans, alluvial plains. The parent material consists of loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is rarely flooded. It is not ponded. A seasonal zone of water saturation is at 24 inches during January, February, March, April, December. Organic matter content in the surface horizon is about 1 percent.  Nonirrigated land capability classification is 2w.  This soil does not meet hydric criteria.   "|"21855904"|"22170238"
09/27/2015 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aquents soil is a minor component."|"21855903"|"22170237"
11/04/2014 00:00:00|"Miscellaneous notes"|"origin of data"||"The horizon data contained herein for this ""aqualf"" is take from the component data for Crowley series in Clay County, Arkansas."|"21856017"|"22170378"
09/07/2018 00:00:00|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Aqualfs soil is a minor component."|"21856017"|"22170379"
