|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"21856266"|"114290537"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"21856266"|"114290538"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21856266"|"114290539"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21856266"|"114290540"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"21856266"|"114290541"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"21856266"|"114290542"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"21856266"|"114290543"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"21856266"|"114290544"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21856266"|"114290545"
|10||"QUNI"|"Quercus nigra"|"water oak"|"21856266"|"114290546"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"21856266"|"114290547"
|10||"TADI2"|"Taxodium distichum"|"baldcypress"|"21856266"|"114290548"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"21856319"|"114290561"
|6||"CEOC"|"Celtis occidentalis"|"common hackberry"|"21856319"|"114290562"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"21856319"|"114290563"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21856319"|"114290564"
|3||"ILDE"|"Ilex decidua"|"possumhaw"|"21856319"|"114290565"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21856319"|"114290566"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"21856319"|"114290567"
|7||"MAPO"|"Maclura pomifera"|"osageorange"|"21856319"|"114290568"
|8||"PIBA2"|"Pinus banksiana"|"jack pine"|"21856319"|"114290569"
|7||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21856319"|"114290570"
|5||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"21856319"|"114290571"
|7||"ROPS"|"Robinia pseudoacacia"|"black locust"|"21856319"|"114290572"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21856328"|"114290573"
|2||"LOTA"|"Lonicera tatarica"|"Tatarian honeysuckle"|"21856328"|"114290574"
|13||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21856328"|"114290575"
|4||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21856328"|"114290576"
|3||"ACGI"|"Acer ginnala"|"Amur maple"|"21856371"|"114290589"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"21856371"|"114290590"
|3||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"21856371"|"114290591"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21856371"|"114290592"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21856371"|"114290593"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"21856371"|"114290594"
|5||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21856371"|"114290595"
|5||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"21856371"|"114290596"
|9||"PLOC"|"Platanus occidentalis"|"American sycamore"|"21856371"|"114290597"
|6||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"21856371"|"114290598"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"21856371"|"114290599"
|5||"ROPS"|"Robinia pseudoacacia"|"black locust"|"21856371"|"114290600"
|3||"ACGI"|"Acer ginnala"|"Amur maple"|"21856366"|"114290577"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"21856366"|"114290578"
|3||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"21856366"|"114290579"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21856366"|"114290580"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21856366"|"114290581"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"21856366"|"114290582"
|5||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21856366"|"114290583"
|5||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"21856366"|"114290584"
|9||"PLOC"|"Platanus occidentalis"|"American sycamore"|"21856366"|"114290585"
|6||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"21856366"|"114290586"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"21856366"|"114290587"
|5||"ROPS"|"Robinia pseudoacacia"|"black locust"|"21856366"|"114290588"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"21856306"|"114290549"
|6||"CEOC"|"Celtis occidentalis"|"common hackberry"|"21856306"|"114290550"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"21856306"|"114290551"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21856306"|"114290552"
|3||"ILDE"|"Ilex decidua"|"possumhaw"|"21856306"|"114290553"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21856306"|"114290554"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"21856306"|"114290555"
|7||"MAPO"|"Maclura pomifera"|"osageorange"|"21856306"|"114290556"
|8||"PIBA2"|"Pinus banksiana"|"jack pine"|"21856306"|"114290557"
|7||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21856306"|"114290558"
|5||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"21856306"|"114290559"
|7||"ROPS"|"Robinia pseudoacacia"|"black locust"|"21856306"|"114290560"
