"CHLAS"|"Chasmanthium laxum var. sessiliflorum"|"slender woodoats"|40||"21864979"|"90981372"
"PAAN"|"Panicum anceps"|"beaked panicum"|25||"21864979"|"90981373"
"2FP"||"other perennial forbs"|15||"21864979"|"90981374"
"2GP"||"other perennial grasses"|5||"21864979"|"90981375"
"SCSCD2"|"Schizachyrium scoparium ssp. divergens"|"little bluestem"|15||"21864979"|"90981376"
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|2||"21864982"|"90981377"
"ELTR4"|"Elionurus tripsacoides"|"Pan American balsamscale"|3||"21864982"|"90981378"
"MUCAF"|"Muhlenbergia capillaris var. filipes"|"gulfhairawn muhly"|3||"21864982"|"90981379"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"21864982"|"90981380"
"2GLP"||"other  perennial  grasslikes"|5||"21864982"|"90981381"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"21864982"|"90981382"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|10||"21864982"|"90981383"
"TRSE"|"Trachypogon secundus"|"onesided crinkleawn"|7||"21864982"|"90981384"
"2TREE"||"other trees"|15||"21864982"|"90981385"
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|2||"21864881"|"90981310"
"ELTR4"|"Elionurus tripsacoides"|"Pan American balsamscale"|3||"21864881"|"90981311"
"MUCAF"|"Muhlenbergia capillaris var. filipes"|"gulfhairawn muhly"|3||"21864881"|"90981312"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"21864881"|"90981313"
"2GLP"||"other  perennial  grasslikes"|5||"21864881"|"90981314"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"21864881"|"90981315"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|10||"21864881"|"90981316"
"TRSE"|"Trachypogon secundus"|"onesided crinkleawn"|7||"21864881"|"90981317"
"2TREE"||"other trees"|15||"21864881"|"90981318"
"2GA"||"other annual grasses"|10||"21864904"|"90981328"
"ANGE"|"Andropogon gerardii"|"big bluestem"|10||"21864904"|"90981329"
"AXFI"|"Axonopus fissifolius"|"common carpetgrass"|10||"21864904"|"90981330"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"21864904"|"90981331"
"PAVI2"|"Panicum virgatum"|"switchgrass"|10||"21864904"|"90981332"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"21864904"|"90981333"
