"Loam"||"129955882"|"132193261"
"Silt loam"||"129955977"|"132193372"
"Silt loam"||"129955965"|"132193259"
"Clay loam"||"129955924"|"132193529"
"Silty clay loam"||"129956132"|"132193317"
"Silty clay loam"||"129955986"|"132193495"
"Silty clay loam"||"129956230"|"132193269"
"Clay"||"129955861"|"132193130"
"Silt loam"||"129955913"|"132193402"
"Silty clay loam"||"129956114"|"132193410"
"Silt loam"||"129956143"|"132193321"
"Loam"||"129956184"|"132193330"
"Silty clay"||"129956156"|"132193516"
"Silt loam"||"129956090"|"132193471"
"Silty clay loam"||"129956239"|"132193487"
"Silt loam"||"129955987"|"132193496"
"Loamy fine sand"||"129956206"|"132193391"
"Loam"||"129956145"|"132193214"
"Silt loam"||"129955998"|"132193170"
"Silt loam"||"129956103"|"132193413"
"Fine sandy loam"||"129955871"|"132193328"
"Silt loam"||"129956101"|"132193411"
"Silt loam"||"129956219"|"132193293"
"Silty clay loam"||"129955975"|"132193274"
"Silt loam"||"129956217"|"132193292"
"Silty clay loam"||"129955903"|"132193256"
"Sand"||"129956062"|"132193250"
"Silt loam"||"129956049"|"132193241"
"Silty clay loam"||"129956250"|"132193263"
"Silt loam"||"129956208"|"132193288"
"Clay loam"||"129955997"|"132193277"
"Silty clay loam"||"129956112"|"132193532"
"Clay loam"||"129956261"|"132193267"
"Silt loam"||"129956226"|"132193398"
"Silty clay loam"||"129955893"|"132193466"
"Silt loam"||"129956195"|"132193333"
"Loamy fine sand"||"129956123"|"132193211"
"Silt loam"||"129956008"|"132193179"
"Silty clay"||"129955976"|"132193168"
"Silt loam"||"129955881"|"132193155"
"Silty clay"||"129956125"|"132193416"
"Silt loam"||"129956134"|"132193217"
"Clay loam"||"129956121"|"132193309"
"Silt loam"||"129955892"|"132193146"
"Silt loam"||"129955902"|"132193144"
"Silt loam"||"129956237"|"132193272"
"Silt loam"||"129955966"|"132193470"
"Silt loam"||"129956039"|"132193221"
"Silt loam"||"129956258"|"132193161"
"Silt loam"||"129955955"|"132193449"
"Silt loam"||"129956018"|"132193178"
"Loam"||"129955914"|"132193196"
"Fine sandy loam"||"129956176"|"132193224"
"Loamy coarse sand"||"129956029"|"132193232"
"Silty clay loam"||"129956060"|"132193458"
"Silt loam"||"129955891"|"132193145"
"Clay loam"||"129956144"|"132193215"
"Sand"||"129955870"|"132193452"
"Silty clay"||"129956259"|"132193371"
"Silty clay loam"||"129956081"|"132193142"
"Loamy sand"||"129956040"|"132193426"
"Silty clay loam"||"129956102"|"132193412"
"Silty clay loam"||"129955883"|"132193156"
"Clay"||"129956175"|"132193140"
"Silt loam"||"129956091"|"132193153"
"Silt loam"||"129955872"|"132193329"
"Fine sandy loam"||"129955859"|"132193219"
"Silty clay loam"||"129955904"|"132193304"
"Silty clay loam"||"129956007"|"132193175"
"Silt loam"||"129956016"|"132193381"
"Silty clay"||"129956260"|"132193163"
"Silty clay loam"||"129955957"|"132193222"
"Silt loam"||"129956165"|"132193388"
"Silt loam"||"129955933"|"132193285"
"Silt loam"||"129955946"|"132193444"
"Silt"||"129956248"|"132193479"
"Silty clay"||"129956186"|"132193121"
"Silty clay"||"129955911"|"132193252"
"Silty clay loam"||"129956207"|"132193180"
"Silt loam"||"129956092"|"132193152"
"Silt loam"||"129956238"|"132193486"
"Silt loam"||"129955922"|"132193403"
"Silty clay loam"||"129956164"|"132193185"
"Clay"||"129956071"|"132193189"
"Silty clay loam"||"129956038"|"132193327"
"Silty clay loam"||"129955988"|"132193497"
"Silty clay"||"129955996"|"132193169"
"Loamy fine sand"||"129956154"|"132193295"
"Silt loam"||"129955935"|"132193499"
"Very fine sandy loam"||"129956249"|"132193480"
"Silt loam"||"129956059"|"132193457"
"Clay loam"||"129956082"|"132193254"
"Clay"||"129956197"|"132193289"
"Silt loam"||"129956051"|"132193133"
"Silt loam"||"129955850"|"132193114"
"Sandy loam"||"129955852"|"132193342"
"Silt loam"||"129955985"|"132193494"
"Clay"||"129956196"|"132193183"
"Clay"||"129956155"|"132193515"
"Silty clay loam"||"129956070"|"132193521"
"Sandy loam"||"129956027"|"132193337"
"Silty clay loam"||"129955863"|"132193236"
"Silty clay loam"||"129956009"|"132193503"
"Silty clay loam"||"129956228"|"132193400"
"Silt loam"||"129955944"|"132193220"
"Silt loam"||"129956137"|"132193422"
"Silty clay loam"||"129955879"|"132193365"
"Silt loam"||"129955937"|"132193501"
"Silt loam"||"129955853"|"132193343"
"Silt loam"||"129955931"|"132193284"
"Silt loam"||"129956229"|"132193164"
"Silt loam"||"129956011"|"132193505"
"Silty clay loam"||"129955926"|"132193527"
"Silty clay loam"||"129956218"|"132193187"
"Fine sandy loam"||"129956085"|"132193300"
"Silt loam"||"129955974"|"132193167"
"Silt loam"||"129955953"|"132193434"
"Silty clay loam"||"129956148"|"132193535"
"Silty clay loam"||"129955964"|"132193151"
"Very fine sandy loam"||"129956181"|"132193225"
"Clay"||"129956170"|"132193383"
"Silt loam"||"129955890"|"132193158"
"Clay loam"||"129955952"|"132193433"
"Silty clay loam"||"129955942"|"132193239"
"Silt loam"||"129956240"|"132193488"
"Silty clay loam"||"129955842"|"132193127"
"Silt loam"||"129955900"|"132193355"
"Silty clay loam"||"129956000"|"132193278"
"Clay"||"129956067"|"132193460"
"Silty clay loam"||"129956122"|"132193534"
"Silty clay"||"129955905"|"132193525"
"Silt loam"||"129955963"|"132193150"
"Silty clay loam"||"129956174"|"132193465"
"Silt loam"||"129956037"|"132193338"
"Silt loam"||"129955894"|"132193467"
"Clay"||"129956074"|"132193395"
"Silt loam"||"129955968"|"132193257"
"Silt loam"||"129956255"|"132193483"
"Silty clay loam"||"129955916"|"132193405"
"Silt loam"||"129956100"|"132193206"
"Silt loam"||"129955868"|"132193346"
"Clay"||"129956166"|"132193181"
"Sandy clay loam"||"129956192"|"132193229"
"Fine sandy loam"||"129956026"|"132193230"
"Silty clay"||"129956111"|"132193531"
"Silty clay"||"129956203"|"132193188"
"Fine sandy loam"||"129956063"|"132193463"
"Silty clay loam"||"129956185"|"132193438"
"Silt loam"||"129955979"|"132193273"
"Silt loam"||"129955857"|"132193340"
"Silty clay"||"129955915"|"132193404"
"Silty clay"||"129956133"|"132193414"
"Loam"||"129956159"|"132193509"
"Silt loam"||"129955989"|"132193490"
"Silty clay loam"||"129955927"|"132193197"
"Silt loam"||"129955849"|"132193233"
"Silt loam"||"129956247"|"132193478"
"Silty clay loam"||"129956236"|"132193166"
"Silty clay"||"129956089"|"132193190"
"Silty clay loam"||"129956052"|"132193344"
"Silt"||"129956004"|"132193376"
"Clay"||"129956210"|"132193392"
"Silt loam"||"129955982"|"132193280"
"Silty clay loam"||"129956214"|"132193513"
"Silty clay loam"||"129956162"|"132193184"
"Clay"||"129956126"|"132193417"
"Silty clay loam"||"129955901"|"132193255"
"Clay loam"||"129955956"|"132193450"
"Silt loam"||"129955930"|"132193307"
"Silt loam"||"129956189"|"132193218"
"Silt loam"||"129955941"|"132193446"
"Clay"||"129956078"|"132193253"
"Silty clay loam"||"129955938"|"132193502"
"Silty clay loam"||"129956136"|"132193421"
"Loamy sand"||"129956177"|"132193435"
"Silty clay loam"||"129956200"|"132193387"
"Clay loam"||"129955993"|"132193493"
"Silty clay"||"129956115"|"132193204"
"Silt loam"||"129955860"|"132193116"
"Silt loam"||"129956041"|"132193132"
"Silt loam"||"129956015"|"132193378"
"Silty clay loam"||"129956188"|"132193122"
"Silty clay loam"||"129955912"|"132193401"
"Fine sandy loam"||"129956204"|"132193389"
"Silt"||"129956104"|"132193315"
"Silt loam"||"129956019"|"132193453"
"Silt loam"||"129955967"|"132193147"
"Sand"||"129956178"|"132193436"
"Silty clay loam"||"129956262"|"132193484"
"Silty clay loam"||"129955934"|"132193498"
"Silt loam"||"129955864"|"132193349"
"Clay loam"||"129956141"|"132193420"
"Fine sandy loam"||"129956152"|"132193517"
"Silty clay"||"129956199"|"132193386"
"Silt loam"||"129956251"|"132193159"
"Silty clay loam"||"129955945"|"132193424"
"Silt loam"||"129956093"|"132193260"
"Clay"||"129955875"|"132193242"
"Silt loam"||"129956163"|"132193291"
"Silty clay loam"||"129955949"|"132193238"
"Silty clay loam"||"129955978"|"132193275"
"Silty clay loam"||"129956241"|"132193489"
"Sandy clay loam"||"129956151"|"132193319"
"Silty clay loam"||"129956048"|"132193117"
"Silt loam"||"129955897"|"132193352"
"Sandy clay loam"||"129956030"|"132193334"
"Silt loam"||"129956056"|"132193459"
