"A"||"A"|||1|2|2|5|10|15|5|8|10|0|0|3|0|0|6|44|52|52|25|44|44|20|38|41|18|35|38|10|21.7|35|1.5|8.5|12.5|1.4|4.4|11|0.6|2.4|11.1|0.9|3.6|12.3|1.2|2.8|4.7|50|68.1|75|16.1|23.4|59|16|44.7|57|5|10.2|20|0|0|0|2.58|4.8|10.5||||0.95|1.18|1.4||||0.96|1.19|1.41|2.65|4|9|14|0.08|0.14|0.17||||8.2|16.6|21.3|2.1|6.5|13.3|18|33|39|0|0.2|0.4|22|31|52|2|5|13|0|0|1|".17"|".37"|0|0|0|0|0|0|0|0|0|0|0.2|2||||0.8|1.7|3.5|0.9|3.2|6.8|4.5|4.8|5.5|3.5|4.2|5.2|||||||4.1|9.5|20.7|||||||||||||||||||"Moderate"|"Moist"|"21292038"|"62709681"
"E"||"E"|||5|10|15|25|30|36|15|20|22|0|0|2|0|0|5|48|58|77|24|39|61|20|36|60|19|35|57|8|12.3|35|0.9|6.6|12.8|1.5|2.3|10.7|0.8|1|12.5|1.1|1.3|12.1|1.1|1.1|4.6|50|77.7|80|15.1|18.5|62|12.4|59.2|60.4|8|10|20|0|0|0|0.3|1.5|3.8||||1.35|1.45|1.55||||1.4|1.5|1.73|2.65|4|9|14|0.08|0.11|0.19||||7|12.8|22.9|1.7|4.3|12.3|14|23|35|0.2|0.6|3.3|19|24|39|4|6|13|0|0|6|".20"|".55"|0|0|0|0|0|0|0|0|0|0|0.2|2||||3.9|10.3|26.8|0.1|0.6|6.7|4.5|4.8|5.5|3.6|4.1|5.2|||||||4|12.5|32.1|||||||||||||||||||"High"|"Moist"|"21292038"|"62709682"
"2Bt"|2|"B"|||41|56|61|200|200|200|139|144|159|0|0|3|0|6|19|44|47|59|24|40|59|21|39|59|19|38|59|1|4.5|20|0|1.8|11.7|0.1|0.7|9.9|0.1|0.4|14.6|0.1|0.6|17.8|0.2|1|5.9|10|41.9|50|1.7|9.5|49|1|32.4|35.9|40|53.6|80|0|0|0|0.2|0.5|0.5||||1.25|1.33|1.4||||1.41|1.49|1.71|2.65|0.4|0.9|1.4|0.03|0.06|0.09||||9.5|18.7|29.8|6.7|15.8|26.8|14|26|37|0.9|2.1|4.8|47|60|84|28|39|58|1|7|21|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0.2|2||||8|10.9|17.4|0.6|4.4|12.8|4.5|4.9|5.5|3.5|4.1|5.2|||||||11.1|16.4|25.6|||||||||||||||||||"Very high"|"Moist"|"21292038"|"62709685"
"BE"||"BE"|||25|30|36|41|56|61|25|26|28|0|0|5|6|6|7|45|57|64|25|37|53|21|32|50|20|30|49|8|18.5|20|0.6|10.1|10.1|0.8|3.2|5.2|0.4|1.6|8.1|0.8|2.2|11.9|1|1.4|3.3|50|53.7|70|13.3|19.7|39.6|16.8|34|53|20|27.8|40|0|0|0|0.2|0.5|1.2||||1.35|1.45|1.55||||1.41|1.51|1.61|2.65|1.4|2.7|4|0.07|0.1|0.15||||9.3|15.3|22.9|4|8.3|15.9|13|21|30|0.2|0.7|1.7|29|37|49|13|19|28|0|1|6|".10"|".43"|0|0|0|0|0|0|0|0|0|0|0.2|2||||3.7|5.5|8.4|1|2.5|5|4.5|4.7|5.5|3.5|4.2|5.2|||||||5|8.9|14.1|||||||||||||||||||"Very high"|"Moist"|"21292038"|"62709683"
"Oi"||"O"|||0|0|0|1|2|2|1|2|2|0|38|57|0|0|0||||||||||||||||||||||||||||||||||||||||||||||52|69|86||||0.15|0.23|0.3||||0.25|0.33|0.4|1.78|42|91|141|0|0.01|0.03||||39.6|46.4|53.2|11.6|15.7|20.1|56|62|68|||||||||||||||0|0|0|0|0|0|0|0|0|0|0.1|2||||11.7|17.8|25.4|7.3|15.1|18.3|3.8|4.3|4.7|3.3|3.7|4|||||||63|79.1|97.1|||||||||||||||||||"Low"|"Moist"|"21292038"|"62709684"
"Ap"||"A"|||0|0|0|3|10|13|3|10|13|0|0|3|0|0|13|60|61|67|25|38|50|21|35|49|18|30|42|10|23|35|1|3|11|1|5|7|2|6|15|4|6|17|1|3|4|55|66|75|16|23|26|36|43|54|5|11|20|0|0|0|1|2|3||||1.46|1.47|1.48||||1.48|1.49|1.5|2.65|14|28|42|0.1|0.11|0.13||||6.2|13.2|19.5|1.4|4.9|10.2|14|22|27|0|0.2|0.4|18|26|35|2|7|13|0|0|2|".15"|".43"|0|0|0|0|0|0|0|0|0|0|0.2|2||||0.8|1.9|3.7|1|1.9|2.7|4.5|4.8|6.5|3.5|4.5|6.5|||||||0.6|5.8|10.2|||||||||||||||||||"High"|"Moist"|"21292039"|"62709686"
"E"||"E"|||3|10|13|15|25|38|8|15|25|0|0|3|0|0|13|55|61|68|22|36|51|19|33|50|16|29|44|10|21|30|1|3|10|1|3|4|2|5|9|4|7|16|1|3|4|55|67|75|16|23|25|34|44|50|5|12|20|0|0|0|0.2|0.2|1||||1.51|1.52|1.54||||1.55|1.56|1.71|2.65|14|20|42|0.09|0.1|0.11||||5|11.6|18.5|0.9|3.8|8.7|11|20|26|0.1|0.4|2|16|23|32|2|7|13|0|0|2|".17"|".55"|0|0|0|0|0|0|0|0|0|0|0.2|2||||2.4|5.3|18|1|3|9|4.5|4.9|6.5|3.5|4.2|6|||||||0.9|6.3|20.2|||||||||||||||||||"High"|"Moist"|"21292039"|"62709687"
"Bt1"||"B"||1|15|25|38|25|71|99|15|46|61|0|0|3|0|3|13|58|61|68|23|37|51|20|35|51|18|33|50|5|12|20|1|4|10|0.5|1|5|2|3|10|1|2|15|0.5|2|5|50|63|75|15|20|22|27|43|55|15|25|35|0|0|0|0.1|0.2|1||||1.44|1.49|1.54||||1.49|1.54|1.62|2.65|4|9|14|0.07|0.07|0.08||||7.4|14.9|22.2|2.7|7.6|14.4|12|21|28|0.2|0.6|1.4|25|34|44|9|16|24|0|1|5|".15"|".49"|0|0|0|0|0|0|0|0|0|0|0.2|2||||2.7|5.1|7.6|1|5|7.6|4.5|4.8|6.5|3.5|4|6|||||||2.1|7.7|12.5|||||||||||||||||||"High"|"Moist"|"21292039"|"62709688"
"2Bt2"|2|"B"||2|25|71|99|200|200|200|102|129|175|0|0|0|0|0|7|88|98|100|77|94|100|69|92|100|62|89|100|2|6|20|0.1|1|7|0.2|1|5|0.2|1|10|1|2|15|0.3|1|5|10|30|40|1|10|16|4|20|36|45|64|80|0|0|0|0.1|0.2|0.9||||1.29|1.3|1.31||||1.5|1.51|1.59|2.65|4|6|14|0.07|0.08|0.09||||33.5|42.1|45.8|19.9|32.8|42.8|40|47|49|2.5|4.9|6.7|52|70|86|32|46|58|17|46|69|".15"|".15"|0|0|0|0|0|0|0|0|0|0|0.2|2||||8.7|13.8|18.1|2.6|5.1|10.7|3.5|4.8|5.5|3.5|4|6|||||||12.1|19.8|28.1|||||||||||||||||||"Very high"|"Moist"|"21292039"|"62709689"
"BE"||"BE"|||5|13|17|18|33|36|15|20|25|0|2|6|5|11|12|46|65|82|31|57|76|27|53|76|21|41|64|10|28.4|35|2|2.3|10|0.9|2.6|6|0.7|5.7|9|1|15.7|16|0.1|2.1|5|50|54.7|75|14|19.1|25|33|35.6|54|10|16.9|27|0|0|0|0.3|1.3|3||||1.33|1.38|1.42||||1.36|1.41|1.46|2.65|4|9|14|0.09|0.15|0.2||||8.5|17.4|26.7|2.3|7.2|15.5|17|30|39|0.1|0.5|1.2|21|29|42|6|11|18|0|1|10|".20"|".49"|0|0|0|0|0|0|0|0|0|0|0.2|2||||1.7|3.1|5.4|0.7|1.2|3|4.5|4.9|5.5|4.5|4.8|5.4|||||||2.2|6.4|12.5|1|1.4|3||||||||||||||||"Moderate"|"Moist"|"21292040"|"62709692"
