"Silty clay loam"||"126292240"|"128454593"
"Loamy fine sand"||"126291752"|"128453368"
"Silt loam"||"126292530"|"128455083"
"Sandy clay loam"||"126293145"|"128453149"
"Clay"||"126292562"|"128456576"
"Silt loam"||"126293760"|"128455818"
"Clay"||"126290581"|"128456502"
"Loamy fine sand"||"126292074"|"128453659"
"Silt loam"||"126291710"|"128453141"
"Loam"||"126293377"|"128454509"
"Clay loam"||"126290122"|"128455386"
"Loam"||"126292781"|"128455713"
"Clay"||"126292689"|"128455209"
"Silty clay loam"||"126293345"|"128454570"
"Clay"||"126289976"|"128453926"
"Silt loam"||"126291098"|"128453470"
"Silty clay loam"||"126290052"|"128453295"
"Silt loam"||"126293333"|"128454439"
"Silt loam"||"126290937"|"128456147"
"Silt loam"||"126291582"|"128454753"
"Silt loam"||"126291338"|"128456133"
"Silt loam"||"126292994"|"128454798"
"Coarse sandy loam"||"126293138"|"128455185"
"Loamy coarse sand"||"126293138"|"128455186"
"Sandy loam"||"126293187"|"128454500"
"Silt loam"||"126291425"|"128453928"
"Clay loam"||"126292056"|"128455648"
"Loamy fine sand"||"126291235"|"128453794"
"Very fine sandy loam"||"126290950"|"128453216"
"Silty clay loam"||"126292744"|"128455097"
"Sandy clay loam"||"126291253"|"128453377"
"Clay"||"126292728"|"128454743"
"Fine sandy loam"||"126290823"|"128454610"
"Silt loam"||"126292895"|"128453311"
"Silt loam"||"126292457"|"128455936"
"Silt loam"||"126290164"|"128456525"
"Loam"||"126293261"|"128454675"
"Fine sandy loam"||"126290852"|"128456333"
"Silty clay loam"||"126290939"|"128456148"
"Loam"||"126293046"|"128454689"
"Sandy loam"||"126293656"|"128455400"
"Sandy loam"||"126290466"|"128453224"
"Sandy clay loam"||"126291900"|"128455853"
"Sandy loam"||"126293771"|"128456189"
"Silty clay loam"||"126291305"|"128454661"
"Fine sandy loam"||"126291889"|"128454839"
"Silt loam"||"126292459"|"128455938"
"Silt loam"||"126292678"|"128454370"
"Silty clay loam"||"126292251"|"128454888"
"Silty clay"||"126290259"|"128453308"
"Coarse sandy loam"||"126293166"|"128454026"
"Clay"||"126293005"|"128455615"
"Silty clay loam"||"126290718"|"128452988"
"Silty clay loam"||"126292707"|"128454177"
"Loam"||"126293604"|"128454285"
"Silt loam"||"126291180"|"128454767"
"Silt loam"||"126292676"|"128454465"
"Silt loam"||"126290633"|"128453097"
"Silty clay loam"||"126291728"|"128454664"
"Silt loam"||"126292343"|"128455639"
"Clay loam"||"126290536"|"128452817"
"Silty clay loam"||"126290697"|"128452809"
"Sandy loam"||"126291842"|"128455659"
"Silt loam"||"126290904"|"128455768"
"Silt loam"||"126293406"|"128456225"
"Silt loam"||"126292628"|"128455231"
"Silt loam"||"126292118"|"128453251"
"Coarse sand"||"126290987"|"128453582"
"Clay loam"||"126291272"|"128453656"
"Silt loam"||"126293480"|"128453172"
"Loamy fine sand"||"126290863"|"128456445"
"Loamy fine sand"||"126291386"|"128453710"
"Sandy clay loam"||"126293218"|"128453647"
"Silt loam"||"126292458"|"128455937"
"Silty clay loam"||"126290440"|"128456506"
"Silt loam"||"126290201"|"128454762"
"Silt loam"||"126293667"|"128454011"
"Clay"||"126290771"|"128452992"
"Loam"||"126290074"|"128452827"
"Silty clay loam"||"126293364"|"128454435"
"Clay"||"126291868"|"128452922"
"Clay"||"126290685"|"128453108"
"Silty clay loam"||"126291678"|"128455333"
"Silt loam"||"126291813"|"128455502"
"Clay"||"126293127"|"128455352"
"Silt loam"||"126290385"|"128452878"
"Silt loam"||"126291446"|"128454642"
"Silt loam"||"126291905"|"128453541"
"Silt loam"||"126292604"|"128455195"
"Clay loam"||"126291963"|"128455017"
"Silt loam"||"126290414"|"128455864"
"Clay loam"||"126293583"|"128454510"
"Loam"||"126293419"|"128456218"
"Fine sand"||"126290865"|"128456446"
"Clay"||"126290706"|"128455878"
"Silty clay"||"126290028"|"128454193"
"Silt loam"||"126290085"|"128452884"
"Loamy sand"||"126292939"|"128454544"
"Silt loam"||"126293042"|"128454126"
"Silt loam"||"126291076"|"128452995"
"Loam"||"126291594"|"128454519"
"Clay loam"||"126292968"|"128455212"
"Silty clay loam"||"126293334"|"128454440"
"Silt loam"||"126293609"|"128453994"
|"Bedrock"|"126290190"|"128453126"
"Clay"||"126292469"|"128453962"
|"Bedrock"|"126293471"|"128454893"
"Silty clay loam"||"126290433"|"128454862"
"Silt loam"||"126290926"|"128456154"
"Silty clay loam"||"126291686"|"128455309"
"Clay"||"126290707"|"128455879"
"Loam"||"126293249"|"128454112"
"Fine sandy loam"||"126290333"|"128453864"
"Silty clay loam"||"126292203"|"128455731"
"Silt loam"||"126290834"|"128456560"
"Loam"||"126292780"|"128455318"
"Clay"||"126289945"|"128456295"
"Coarse sand"||"126291375"|"128456316"
"Clay"||"126290644"|"128452945"
"Loam"||"126292181"|"128454580"
"Silt loam"||"126292290"|"128455491"
"Sandy loam"||"126291824"|"128452758"
"Silt loam"||"126291467"|"128455383"
"Silt loam"||"126293177"|"128454214"
"Sandy clay loam"||"126291852"|"128456098"
"Sand"||"126291802"|"128453952"
"Silty clay"||"126289906"|"128452881"
"Silt loam"||"126293630"|"128455395"
"Clay"||"126289947"|"128456536"
"Fine sandy loam"||"126290061"|"128453014"
"Sandy loam"||"126291364"|"128452823"
"Silty clay loam"||"126293572"|"128455429"
"Silty clay loam"||"126290233"|"128452874"
"Clay"||"126290549"|"128456520"
"Silty clay"||"126293079"|"128453085"
"Silty clay loam"||"126290396"|"128452851"
"Silt loam"||"126292155"|"128453091"
"Loam"||"126291811"|"128455501"
"Silty clay loam"||"126293324"|"128456067"
"Silty clay"||"126292501"|"128456319"
"Clay"||"126291066"|"128455917"
"Silty clay"||"126292687"|"128455206"
"Clay loam"||"126292468"|"128453961"
"Silt loam"||"126290422"|"128456494"
"Loam"||"126291583"|"128456592"
"Silty clay loam"||"126290148"|"128455904"
"Silt loam"||"126290695"|"128453574"
|"Bedrock"|"126289987"|"128455911"
"Silty clay"||"126292906"|"128456580"
"Silt loam"||"126290050"|"128453293"
"Loam"||"126291397"|"128453707"
"Silt loam"||"126291024"|"128454634"
"Clay loam"||"126291974"|"128452746"
"Coarse sand"||"126292100"|"128453822"
"Silt loam"||"126291029"|"128456419"
"Loam"||"126293312"|"128456372"
"Silty clay loam"||"126292129"|"128453913"
"Sandy loam"||"126292976"|"128454744"
"Loam"||"126293578"|"128455062"
"Clay"||"126293105"|"128452784"
"Clay"||"126291327"|"128456139"
"Clay"||"126292617"|"128455599"
"Silt loam"||"126291571"|"128456042"
"Silt loam"||"126291456"|"128456165"
"Silty clay"||"126292739"|"128455096"
"Silt loam"||"126289958"|"128456171"
"Silt loam"||"126291401"|"128453003"
"Sandy loam"||"126292030"|"128455642"
"Clay loam"||"126292374"|"128454460"
"Silt loam"||"126291699"|"128455313"
"Silt loam"||"126292447"|"128453260"
"Silt loam"||"126293493"|"128453339"
"Fine sand"||"126290977"|"128456312"
"Clay"||"126290425"|"128456246"
"Silt loam"||"126293565"|"128456210"
"Loam"||"126290525"|"128454598"
"Sand"||"126293620"|"128456360"
"Silty clay loam"||"126290039"|"128453506"
"Silt loam"||"126293408"|"128455849"
"Loam"||"126292448"|"128453261"
"Sandy clay"||"126291931"|"128452926"
"Clay"||"126292543"|"128454406"
"Silt loam"||"126292733"|"128454537"
"Fine sandy loam"||"126290810"|"128453901"
|"Slightly decomposed plant material"|"126293101"|"128456302"
"Silty clay loam"||"126292137"|"128453441"
"Fine sandy loam"||"126290477"|"128453723"
"Fine sandy loam"||"126291298"|"128453351"
"Silt loam"||"126293395"|"128456401"
"Silt loam"||"126293250"|"128454113"
"Loam"||"126293251"|"128454114"
"Fine sand"||"126290499"|"128453427"
"Clay loam"||"126291675"|"128455330"
"Silty clay"||"126290591"|"128452977"
"Silty clay loam"||"126291815"|"128455240"
"Clay"||"126290211"|"128452871"
"Silt loam"||"126292700"|"128454032"
"Coarse sandy loam"||"126293469"|"128454672"
"Clay loam"||"126292593"|"128454980"
"Silt loam"||"126292301"|"128455587"
"Sandy loam"||"126290959"|"128453850"
"Clay loam"||"126290623"|"128454883"
"Loam"||"126292332"|"128456127"
"Silty clay"||"126292791"|"128455714"
"Silty clay"||"126292192"|"128455594"
"Silt loam"||"126292606"|"128455468"
"Silt loam"||"126290185"|"128453775"
"Clay"||"126292262"|"128455226"
"Clay loam"||"126293552"|"128456204"
"Silt loam"||"126292770"|"128455585"
