"GC-GM"|No |"62709035"|"117362273"
"GC"|Yes|"62709035"|"117362274"
"CH"|No |"62709680"|"117363578"
"GC"|Yes|"62709680"|"117363577"
"CL"|No |"62709034"|"117362272"
"GC"|Yes|"62709034"|"117362271"
"CL-ML"|Yes|"62709192"|"117362598"
"CL"|No |"62709192"|"117362597"
"SM"|No |"62709192"|"117362599"
"CL"|No |"62709278"|"117362762"
"GC"|Yes|"62709278"|"117362761"
"GC-GM"|Yes|"62709536"|"117363301"
"GC"|No |"62709536"|"117363300"
"GM"|No |"62709536"|"117363299"
"CL"|Yes|"62709277"|"117362760"
"CH"|No |"62708908"|"117362000"
"SC"|Yes|"62708908"|"117362001"
"CH"|Yes|"62709510"|"117363248"
"GC"|No |"62709510"|"117363249"
"GM"|No |"62709795"|"117363795"
"SC"|Yes|"62709795"|"117363794"
"CL"|Yes|"62709985"|"117364178"
"GC"|No |"62709985"|"117364177"
"CL"|Yes|"62709253"|"117362721"
"SC"|No |"62709253"|"117362722"
"CL-ML"|Yes|"62710068"|"117364333"
"CL"|No |"62710068"|"117364335"
"SM"|No |"62710068"|"117364334"
"CL"|No |"62708815"|"117361801"
"SC"|Yes|"62708815"|"117361802"
"CL"|Yes|"62710013"|"117364227"
"GC"|Yes|"62709974"|"117364156"
"SM"|Yes|"62710035"|"117364270"
"CL"|No |"62709024"|"117362249"
"ML"|Yes|"62709024"|"117362250"
"SM"|No |"62709024"|"117362251"
"SC"|Yes|"62709599"|"117363428"
"GC-GM"|No |"62709691"|"117363596"
"GM"|Yes|"62709691"|"117363597"
"SC-SM"|No |"62709183"|"117362575"
"SM"|Yes|"62709183"|"117362576"
"CL"|Yes|"62710129"|"117364448"
"SC"|No |"62710129"|"117364449"
"CL"|Yes|"62708560"|"117361336"
"ML"|No |"62708560"|"117361335"
"CL"|Yes|"62709910"|"117364023"
"GC"|No |"62709910"|"117364024"
"CL-ML"|No |"62708782"|"117361732"
"CL"|Yes|"62708782"|"117361733"
"CL"|Yes|"62708856"|"117361900"
"GC"|No |"62708856"|"117361899"
"GP-GC"|No |"62709415"|"117363052"
"CH"|Yes|"62709415"|"117363053"
"GP-GM"|No |"62710118"|"117364429"
"GW-GC"|Yes|"62710118"|"117364430"
"GC"|No |"62710118"|"117364428"
"PT"|Yes|"62709436"|"117363093"
"GW-GM"|No |"62709932"|"117364076"
"GC"|Yes|"62709932"|"117364075"
"SC"|No |"62709932"|"117364077"
"CH"|Yes|"62709763"|"117363729"
"GC"|No |"62709763"|"117363730"
"GC"|Yes|"62708679"|"117361542"
"SM"|No |"62708679"|"117361541"
"SC"|Yes|"62709161"|"117362534"
"SM"|No |"62709161"|"117362535"
"PT"|Yes|"62709351"|"117362917"
"CH"|Yes|"62708778"|"117361725"
"SC"|No |"62708778"|"117361726"
"CH"|Yes|"62709045"|"117362295"
"SC"|No |"62709045"|"117362296"
"CL"|Yes|"62709518"|"117363266"
"GC"|No |"62709518"|"117363265"
"CL"|No |"62709109"|"117362430"
"SC"|Yes|"62709109"|"117362429"
"CL"|No |"62709266"|"117362739"
"SC"|Yes|"62709266"|"117362738"
"CL"|No |"62709643"|"117363513"
"GM"|No |"62709643"|"117363512"
"SC"|Yes|"62709643"|"117363514"
"GC-GM"|Yes|"62708919"|"117362021"
"GC"|No |"62708919"|"117362023"
"GM"|No |"62708919"|"117362022"
"CL"|Yes|"62709621"|"117363476"
"CL"|Yes|"62708645"|"117361481"
"CH"|Yes|"62708950"|"117362084"
"GC"|No |"62708950"|"117362083"
"GC-GM"|No |"62709742"|"117363689"
"GC"|Yes|"62709742"|"117363690"
"SC-SM"|No |"62709961"|"117364128"
"SC"|Yes|"62709961"|"117364129"
"GC"|Yes|"62709899"|"117364001"
"CL"|Yes|"62710048"|"117364292"
"CL-ML"|Yes|"62710154"|"117364504"
"ML"|No |"62710154"|"117364503"
"CL-ML"|No |"62708671"|"117361525"
"CL"|Yes|"62708671"|"117361524"
"CH"|No |"62708804"|"117361775"
"CL"|Yes|"62708804"|"117361773"
"SC"|No |"62708804"|"117361774"
"SC"|No |"62709473"|"117363179"
"SM"|Yes|"62709473"|"117363178"
"GC"|Yes|"62709837"|"117363880"
"SC-SM"|No |"62709909"|"117364022"
"SC"|Yes|"62709909"|"117364021"
"CL"|Yes|"62708877"|"117361942"
"GC"|No |"62708877"|"117361941"
"GM"|Yes|"62709403"|"117363029"
"GC-GM"|No |"62708576"|"117361361"
"CL"|No |"62708576"|"117361360"
"GC"|Yes|"62708576"|"117361359"
"CL"|Yes|"62708634"|"117361464"
"CL"|No |"62708756"|"117361686"
"SC"|Yes|"62708756"|"117361688"
"SM"|No |"62708756"|"117361687"
"CL"|Yes|"62709264"|"117362735"
"CL"|Yes|"62710057"|"117364307"
"SC"|No |"62709341"|"117362894"
"SM"|Yes|"62709341"|"117362893"
"CL"|No |"62709753"|"117363711"
"GC"|Yes|"62709753"|"117363709"
"GM"|No |"62709753"|"117363710"
"GC-GM"|No |"62710024"|"117364251"
"CL"|Yes|"62710024"|"117364250"
"SC-SM"|No |"62709148"|"117362511"
"SP-SM"|Yes|"62709148"|"117362510"
"CL-ML"|No |"62708642"|"117361477"
"CL"|Yes|"62708642"|"117361476"
"GW-GM"|No |"62709425"|"117363072"
"GC"|Yes|"62709425"|"117363073"
"SC"|No |"62709425"|"117363071"
"GM"|No |"62709805"|"117363813"
"OL"|No |"62709805"|"117363814"
"SM"|Yes|"62709805"|"117363815"
"SC-SM"|Yes|"62709827"|"117363857"
"SC"|No |"62709827"|"117363858"
"SM"|No |"62709827"|"117363859"
"CL"|Yes|"62709943"|"117364094"
"CL"|Yes|"62709255"|"117362724"
"CL-ML"|No |"62709972"|"117364152"
"CL"|Yes|"62709972"|"117364153"
"SC-SM"|Yes|"62710143"|"117364482"
"SP-SM"|No |"62710143"|"117364484"
"SC"|No |"62710143"|"117364483"
"CL-ML"|No |"62708682"|"117361547"
"CL"|Yes|"62708682"|"117361546"
"GC-GM"|No |"62709085"|"117362377"
"GC"|Yes|"62709085"|"117362378"
"CH"|Yes|"62709711"|"117363634"
"CL"|No |"62709711"|"117363633"
"CL"|Yes|"62709023"|"117362248"
"SC"|No |"62709023"|"117362247"
"GM"|Yes|"62709573"|"117363372"
"SC-SM"|No |"62708841"|"117361864"
"CL"|Yes|"62708841"|"117361865"
"GW-GM"|No |"62709242"|"117362697"
"GC"|Yes|"62709242"|"117362696"
"SC"|No |"62709242"|"117362698"
"CL-ML"|Yes|"62709784"|"117363768"
"ML"|No |"62709784"|"117363769"
"SM"|Yes|"62709930"|"117364071"
"CH"|Yes|"62710059"|"117364311"
"GC"|No |"62710059"|"117364312"
"CL"|No |"62709702"|"117363618"
"GC"|Yes|"62709702"|"117363617"
"CL"|Yes|"62708653"|"117361495"
"SC"|No |"62708745"|"117361660"
"SM"|Yes|"62708745"|"117361659"
"CL"|No |"62709462"|"117363150"
"SM"|Yes|"62709462"|"117363151"
"CL-ML"|No |"62708866"|"117361919"
"CL"|Yes|"62708866"|"117361920"
"CL"|No |"62709921"|"117364050"
"SC"|Yes|"62709921"|"117364049"
"SM"|Yes|"62710140"|"117364476"
"SC-SM"|Yes|"62709170"|"117362548"
"SC"|No |"62709170"|"117362547"
"SM"|No |"62709170"|"117362549"
"CL"|Yes|"62709315"|"117362838"
"GC"|No |"62709315"|"117362839"
"GP-GC"|No |"62709414"|"117363050"
"GC"|Yes|"62709414"|"117363051"
"PT"|Yes|"62709888"|"117363985"
"CH"|No |"62708708"|"117361588"
"GC"|Yes|"62708708"|"117361587"
"GC-GM"|Yes|"62708837"|"117361852"
"GP-GM"|No |"62708837"|"117361853"
"GC"|No |"62708837"|"117361854"
"CL"|Yes|"62709389"|"117363000"
"SC"|No |"62709389"|"117362999"
"PT"|Yes|"62709547"|"117363318"
"CH"|Yes|"62709900"|"117364002"
"CH"|Yes|"62709044"|"117362294"
"GC"|No |"62709044"|"117362293"
"CL-ML"|No |"62708734"|"117361636"
"CL"|Yes|"62708734"|"117361635"
"CH"|No |"62709096"|"117362402"
"CL"|Yes|"62709096"|"117362403"
"CL"|Yes|"62709304"|"117362818"
"SC"|No |"62709304"|"117362819"
"GC-GM"|No |"62709499"|"117363227"
"GC"|Yes|"62709499"|"117363228"
"CL-ML"|No |"62710046"|"117364289"
"CL"|Yes|"62710046"|"117364290"
"CL"|Yes|"62709194"|"117362604"
"SC"|No |"62709194"|"117362603"
"CH"|No |"62709362"|"117362941"
"CL"|Yes|"62709362"|"117362942"
"GC"|No |"62709362"|"117362940"
"CL-ML"|No |"62710107"|"117364406"
"CL"|Yes|"62710107"|"117364405"
"CL"|Yes|"62709067"|"117362341"
"ML"|No |"62709067"|"117362340"
