"Slickensides"|10|13|30|200|200|200|170|187|190|"21294993"|"11629598"
"Cambic horizon"|10|13|30|200|200|200|170|187|190|"21294993"|"11629599"
"Ochric epipedon"|0|0|0|10|13|30|10|13|30|"21294993"|"11629600"
"Ochric epipedon"|0|0|0|8|13|30|8|13|30|"21294997"|"11629601"
"Cambic horizon"|8|13|30|51|69|104|43|56|96|"21294997"|"11629602"
"Lithologic discontinuity"|51|69|104|91|140|200|40|71|96|"21294997"|"11629603"
"Lithologic discontinuity"|91|140|200|153|200|200|48|60|109|"21294997"|"11629604"
"Argillic horizon"|10|30|45|61|127|172|51|97|162|"21294998"|"11629605"
"Ochric epipedon"|0|0|0|10|13|30|10|13|30|"21294998"|"11629606"
"Ochric epipedon"|0|0|0|28|38|66|28|38|66|"21295016"|"11629607"
"Albic horizon"|8|8|20|28|38|66|20|30|46|"21295016"|"11629608"
"Argillic horizon"|28|38|66|104|135|180|76|97|114|"21295016"|"11629609"
