"Btg1"||"B"||1|43|51|81|122|127|164|61|76|121|0|0|0|0|0|0|100|100|100|98|100|100|80|94|100|63|76|99|18|28.1|55.5|0|2.2|2.2|0|2.7|9|0|5.3|15.3|0.4|9.8|19.5|3.9|8.1|26.8|8|29.4|38|5.2|9.3|23.7|9.3|20.1|48.2|30|42.5|59|0|0|0|0.25|0.35|0.5||||1.3|1.46|1.57||||1.57|1.73|1.89|2.68|0.42|0.91|1.4|0.15|0.17|0.19||||27.1|36.2|39.1|16.5|23.6|32.8|39|43|49|3.6|5.8|8.9|40|52|68|21|30|43|11|23|49|".28"|".28"|0|0|0|0|0|0|0|3|8|0.1|0.1|1.5|15.8|22.5|31.2||||11.8|21.5|38.1|6.1|6.2|8.4||||||||||0|6.2|8.4|0|0.3|0.4||||||||||||||||||"21692729"|"63953459"
"Btg2"||"B"||2|122|127|164|203|203|203|39|76|81|0|0|0|0|0|0|100|100|100|98|100|100|95|97.5|100|56|56|80|33.3|50|65.4|0|2.9|4.1|0.8|4.1|7.3|5.7|5.7|14.8|10.5|27.2|32|8.3|10.1|17.1|8|19|31.7|6|9.4|12|9|9.6|26|25|31|46|0|0|0|0.1|0.2|0.25||||1.5|1.56|1.66||||1.69|1.75|1.88|2.66|4|9|14|0.16|0.18|0.2||||24.3|27.2|32.5|16.3|20.6|30.5|35|39|41|2.9|3.9|6.5|35|41|55|17|22|33|7|9|27|".20"|".20"|0|0|0|0|0|0|0|3|5|0.1|0.1|0.1|13.2|16.6|24.7||||9.6|15.9|26.2|6.1|6.2|8.4||||||||||0|4.9|6.9|0|0.3|0.4||||||||||||||||||"21692729"|"63953461"
"Bt"||"B"|||14|33|53|43|51|81|18|18|37|0|0|0|0|0|0|100|100|100|98|100|100|79|86|91|44|50|55|28.1|55.5|55.5|0|1.5|4.1|0.8|9|9|5.3|15.3|15.3|9.8|19.5|32|8.1|10.2|17.1|14.5|14.5|37|5.2|5.2|13.1|9|9.3|26|20|30|35|0|0|0|0.25|0.5|0.75||||1.46|1.55|1.64||||1.64|1.73|1.77|2.67|4|9|14|0.16|0.18|0.2||||22.1|27|29|13.2|20.2|23.8|36|40|43|2.2|3.7|4.5|31|41|46|13|21|25|2|7|11|".24"|".24"|0|0|0|0|0|0|0|3|6|0.1|0.1|1|10.6|15.9|18.6||||6.7|13.4|20.1|5.6|5.8|7.8||||||||||0|6.1|7.4|0|0.3|0.4||||||||||||||||||"21692729"|"63953458"
"A"||"A"|||0|0|0|14|33|53|14|33|53|0|0|0|0|0|0|100|100|100|100|100|100|95|99.8|100|44|44|96.7|48|65.4|70|0|0.1|2.9|0|3|4.1|0|14.8|14.8|2.4|31.4|35|10.1|16.1|28|15|19.6|35|7.2|7.2|36.2|12.4|12.4|49.7|7.6|15|18|0|0|0|0.5|0.75|1||||1.43|1.48|1.53||||1.47|1.52|1.57|2.62|14|28|42|0.11|0.13|0.15||||15.3|20.5|22.4|5.8|11|13.3|40|41|43|0.4|0.9|1.1|19|27|30|4|10|12|0|1|11|".24"|".24"|0|0|0|0|0|0|0|0.7|1.4|0.1|0.4|1||||1.7|3.8|4.8|1.2|3.4|4.8|4.5|5.4|6||||||||||0|4.5|9.6|0|0|0.4||||||||||||||||||"21692729"|"63953460"
"A"||"A"|||0|0|0|13|14|18|13|14|18|0|0|0|0|0|0|100|100|100|98|99|100|97|99|100|94|98|99|0.8|1.1|5|0|0.2|0.2|0.1|0.2|0.3|0.2|0.2|0.7|0.1|0.2|2.9|0.2|0.3|2.9|23|25.4|40|0.4|0.4|5.9|22.2|25|37.8|55.5|73.5|73.5|0|0|2.6|4.08|5.9|5.9||||1.12|1.12|1.29||||1.76|1.82|1.82|2.46|0.01|0.2|0.42|0.08|0.12|0.15||||34.2|42.7|42.7|23.2|27.5|27.5|44|51|57|9|17|25|72|90|90|46|60|60|49|69|70|".15"|".15"|0|5|5|0|0|0|0|0|1|0.6|0.8|0.8|39|48.5|48.5||||62.6|75.4|76.9|7.4|7.7|8.4|7.4|7.5|8.4|||||||1.3|5|6||0.1|||||||||||||||||"Very high"|"Moist"|"21692310"|"63952939"
"Bkss"||"B"|||146|146|168|203|203|203|35|57|57|0|0|0|0|0|0|100|100|100|99|99|100|97|98|100|92|97|100|0.5|1.7|7.5|0.1|0.2|0.9|0.1|0.4|1.1|0|0.4|2|0.1|0.4|3.4|0.2|0.3|1.2|24.1|34.3|34.3|0.1|27.1|27.1|7.2|7.2|26.7|64|64|70.4|0|0.7|4|1.53|3.2|3.2||||1.18|1.26|1.35||||1.76|1.98|2.06|2.52|0.01|0.2|0.42|0.08|0.13|0.15||||33.4|40.4|41.8|24|24.6|26.2|41|48|48|9|17|25|80|80|86|52|52|57|65|69|74|".20"|".20"|0|11|11|0|0|0|3|8|16|0.9|3.2|6.6|35.5|35.5|57.4||||74.8|74.8|99.7|7.4|7.7|8.4|7.4|7.7|8.4|||||||0|3.2|5.6||0.1|||||||||||||||||"Very high"|"Moist"|"21692310"|"63952938"
"Bss2"||"B"||2|64|90|94|146|146|168|56|56|82|0|0|0|0|0|0|100|100|100|99|99|100|97|98|100|92|97|100|0.5|2.2|5.8|0|1.2|1.2|0|0.3|0.3|0.1|0.3|2.6|0.1|0.1|1.4|0.2|0.3|1.3|24.4|27.4|35.1|0.1|0.2|0.8|24|27.2|34.3|64|70.4|72.6|0|1.9|4|1.53|3.2|3.2||||1.2|1.21|1.29||||1.76|1.98|2.06|2.51|0.01|0.2|0.42|0.08|0.13|0.15||||36.1|43.1|43.1|25.1|27|27|41|48|48|9|17|25|81|86|89|53|57|60|65|69|74|".17"|".17"|0|8|8|0|0|0|2|8|14|0.6|1|6.8|38.7|41.4|49.3||||66.7|77.9|77.9|7.4|8.1|8.4|7.4|7.9|8.4|||||||0|3.2|5.6||0.1|||||||||||||||||"Very high"|"Moist"|"21692310"|"63952937"
"Bss1"||"B"||1|13|14|18|64|90|94|46|76|81|0|0|0|0|0|0|100|100|100|100|100|100|99|99|100|95|99|100|0.5|1.5|4.2|0|0.4|0.4|0|0.2|0.3|0.1|0.2|1.6|0.1|0.3|1|0.3|0.4|1.4|25.4|26.2|40|0.3|1|4.9|25.2|25.2|36.1|58.5|72.3|72.3|0|0.8|3.9|1.85|3.5|3.5||||1.16|1.16|1.29||||1.83|1.89|1.99|2.5|0.01|0.2|0.42|0.08|0.12|0.15||||34.8|43.8|43.8|23.4|28.3|28.3|42|50|50|9|17|25|75|88|88|48|59|59|52|67|70|".17"|".17"|0|4|4|0|0|0|0|2|15|0.4|0.5|1.8|36.7|44.4|48.4||||66.6|77.4|77.7|7.4|7.9|8.4|7.4|7.7|8.4|||||||0.5|2.4|5.2||0.1|||||||||||||||||"Very high"|"Moist"|"21692310"|"63952940"
"Bss1"||"B"||1|13|14|18|64|90|94|46|76|81|0|0|0|0|0|0|100|100|100|100|100|100|99|99|100|95|99|100|0.5|1.5|4.2|0|0.4|0.4|0|0.2|0.3|0.1|0.2|1.6|0.1|0.3|1|0.3|0.4|1.4|25.4|26.2|40|0.3|1|4.9|25.2|25.2|36.1|58.5|72.3|72.3|0|0.8|3.9|1.85|3.5|3.5||||1.16|1.16|1.29||||1.83|1.89|1.99||0.01|0.2|0.42|0.08|0.12|0.15||||34.8|43.8|43.8|23.4|28.3|28.3|42|50|50|10.2|14.3|16|69|83|83|45|56|56|48|65|66|".17"|".17"|0|4|4|0|0|0|0|2|2|0.4|0.5|1.8|36.7|44.4|48.4||||66.6|77.4|77.7|7.4|7.9|8.4|7.4|7.7|8.4|||||||0.5|2.4|5.2||0.1|||||||||||||||||"Very high"|"Moist"|"21692543"|"63953186"
"Bss2"||"B"||2|64|90|94|146|146|168|56|56|82|0|0|0|0|0|0|100|100|100|99|99|100|97|98|100|92|97|100|0.5|2.2|5.8|0|1.2|1.2|0|0.3|0.3|0.1|0.3|2.6|0.1|0.1|1.4|0.2|0.3|1.3|24.4|27.4|35.1|0.1|0.2|0.8|24|27.2|34.3|64|70.4|72.6|0|1.9|4|1.53|3.2|3.2||||1.2|1.21|1.29||||1.76|1.98|2.06||0.01|0.2|0.42|0.08|0.13|0.15||||36.1|43.1|43.1|25.1|27|27|41|48|48|11.5|13.3|16.3|80|83|84|55|56|57|57|63|67|".17"|".17"|0|8|8|0|0|0|2|4|6|0.6|1|2|38.7|41.4|49.3||||66.7|77.9|77.9|7.4|8.1|8.4|7.4|7.9|8.4|||||||0|3.2|5.6||0.1|||||||||||||||||"Very high"|"Moist"|"21692543"|"63953183"
