"Silt loam"||"128892812"|"131112258"
"Silt loam"||"128891620"|"131109553"
"Clay"||"128891810"|"131111252"
"Silt loam"||"128890623"|"131109664"
"Clay"||"128892949"|"131111490"
"Clay loam"||"128890607"|"131109663"
"Clay"||"128892833"|"131110474"
"Silty clay loam"||"128892189"|"131111333"
"Silty clay"||"128890601"|"131111487"
"Silt loam"||"128890549"|"131109945"
"Clay"||"128892967"|"131110950"
"Loam"||"128892936"|"131110905"
"Clay"||"128890633"|"131109665"
"Silty clay loam"||"128892811"|"131111720"
"Silty clay loam"||"128890612"|"131109803"
"Clay loam"||"128892800"|"131110303"
"Loam"||"128892897"|"131112027"
|"Variable"|"128890570"|"131109799"
"Clay loam"||"128890634"|"131109519"
"Sandy clay loam"||"128890596"|"131109513"
"Fine sandy loam"||"128892200"|"131112527"
"Clay"||"128892459"|"131110651"
"Clay"||"128893468"|"131111055"
"Silt loam"||"128892823"|"131111718"
"Sandy clay loam"||"128890622"|"131111484"
"Silt loam"||"128890559"|"131110941"
"Fine sand"||"128892178"|"131112621"
"Sandy clay loam"||"128890586"|"131109954"
"Sandy clay loam"||"128892801"|"131110713"
"Fine sandy loam"||"128892971"|"131110522"
"Clay loam"||"128892780"|"131112254"
"Clay"||"128891635"|"131109913"
"Clay"||"128892960"|"131110248"
"Silty clay"||"128892958"|"131110105"
"Silty clay"||"128890574"|"131109949"
"Fine sandy loam"||"128891790"|"131112326"
"Clay"||"128892947"|"131111489"
"Silty clay loam"||"128892822"|"131112256"
"Clay"||"128890575"|"131109950"
"Silty clay loam"||"128892925"|"131111190"
"Silty clay"||"128891631"|"131111699"
"Clay"||"128892843"|"131111868"
"Clay loam"||"128891801"|"131111255"
"Silty clay loam"||"128890564"|"131109657"
"Clay loam"||"128890597"|"131110646"
"Silty clay"||"128892832"|"131110473"
"Clay loam"||"128890611"|"131109662"
"Silty clay loam"||"128890585"|"131109953"
"Fine sand"||"128892885"|"131111340"
"Silty clay loam"||"128892790"|"131110167"
"Fine sand"||"128892176"|"131112618"
"Loam"||"128890619"|"131111481"
"Silt loam"||"128892906"|"131110775"
"Silty clay loam"||"128890608"|"131109515"
