"Secondary carbonates"|0|0|0|203|203|203|203|203|203|"21828785"|"12164227"
"Mollic epipedon"|0|0|0|12|42|54|12|42|54|"21828785"|"12164228"
"Mollic epipedon"||0|||26|||26||"21828733"|"12164180"
"Argillic horizon"||26|||203|||177||"21828733"|"12164181"
"Mollic epipedon"||0|||69|||69||"21828740"|"12164182"
"Argillic horizon"||20|||203|||183||"21828740"|"12164183"
"Secondary carbonates"|94|127|172|203|203|203|31|76|109|"21828773"|"12164214"
"Ochric epipedon"|0|0|0|10|23|25|10|23|25|"21828773"|"12164212"
"Argillic horizon"|10|23|25|203|203|203|178|180|193|"21828773"|"12164213"
"Mollic epipedon"|0|0|0|46|79|79|46|79|79|"21828776"|"12164215"
"Argillic horizon"|11|15|33|203|203|203|170|188|192|"21828776"|"12164216"
"Cambic horizon"||31|||76|||45||"21828587"|"12164014"
"Ochric epipedon"||0|||31|||31||"21828587"|"12164013"
"Secondary carbonates"|127|156|196|203|203|203|7|47|76|"21828378"|"12163971"
"Ochric epipedon"|0|0|0|10|46|48|10|46|48|"21828378"|"12163968"
"Argillic horizon"|10|46|48|203|203|203|155|157|193|"21828378"|"12163969"
"Lithologic discontinuity"|127|156|196|203|203|203|7|47|76|"21828378"|"12163970"
"Secondary carbonates"|94|127|172|203|203|203|31|76|109|"21828762"|"12164206"
"Ochric epipedon"|0|0|0|10|23|25|10|23|25|"21828762"|"12164204"
"Argillic horizon"|10|23|25|203|203|203|178|180|193|"21828762"|"12164205"
"Secondary carbonates"|94|107|172|203|203|203|31|96|109|"21828764"|"12164209"
"Ochric epipedon"|0|0|0|10|18|25|10|18|25|"21828764"|"12164207"
"Argillic horizon"|10|18|25|203|203|203|178|185|193|"21828764"|"12164208"
"Ochric epipedon"|0|0|0|33|48|48|33|48|48|"21828771"|"12164210"
"Argillic horizon"|33|48|48|203|203|203|155|155|170|"21828771"|"12164211"
"Aquic conditions"|0|0|0|23|69|71|23|69|71|"21828635"|"12164061"
"Ochric epipedon"|0|0|0|8|17|41|8|17|41|"21828635"|"12164059"
"Argillic horizon"|23|69|71|203|203|203|134|134|180|"21828635"|"12164060"
"Episaturation"|0|0|0|23|69|71|23|69|71|"21828635"|"12164062"
"Secondary carbonates"|94|152|172|203|203|203|31|51|109|"21828637"|"12164065"
"Ochric epipedon"|0|0|0|10|25|25|10|25|25|"21828637"|"12164063"
"Argillic horizon"|10|25|25|203|203|203|178|178|193|"21828637"|"12164064"
"Ochric epipedon"|0|0|0|102|132|173|102|132|173|"21828745"|"12164184"
"Argillic horizon"|102|132|173|203|203|203|30|71|101|"21828745"|"12164185"
"Secondary carbonates"|35|135|163|203|203|203|40|68|168|"21828756"|"12164202"
"Mollic epipedon"|0|0|0|35|135|163|35|135|163|"21828756"|"12164201"
"Slickensides"|15|29|117|203|203|203|86|174|188|"21828756"|"12164203"
"Secondary carbonates"|46|149|149|203|203|203|54|54|157|"21828586"|"12164012"
"Mollic epipedon"|0|0|0|110|166|166|110|166|166|"21828586"|"12164011"
"Slickensides"|8|9|64|203|203|203|139|194|195|"21828586"|"12164010"
"Cambic horizon"|13|14|18|203|203|203|185|189|190|"21828697"|"12164127"
"Ochric epipedon"|0|0|0|13|14|18|13|14|18|"21828697"|"12164126"
"Slickensides"|13|14|18|203|203|203|185|189|190|"21828697"|"12164128"
"Aquic conditions"|0|0|0|203|203|203|203|203|203|"21828597"|"12164019"
"Mollic epipedon"|0|0|0|20|36|91|20|36|91|"21828597"|"12164017"
"Slickensides"|20|36|91|100|104|152|9|68|132|"21828597"|"12164018"
"Cambic horizon"|10|25|41|203|203|203|162|178|193|"21828804"|"12164247"
"Ochric epipedon"|0|0|0|10|25|41|10|25|41|"21828804"|"12164246"
"Cambic horizon"|10|10|41|203|203|203|162|193|193|"21828808"|"12164249"
"Ochric epipedon"|0|0|0|10|10|41|10|10|41|"21828808"|"12164248"
"Cambic horizon"|10|25|41|203|203|203|162|178|193|"21828812"|"12164251"
"Ochric epipedon"|0|0|0|10|25|41|10|25|41|"21828812"|"12164250"
"Ochric epipedon"|0|0|0|10|20|33|10|20|33|"21828814"|"12164252"
"Cambic horizon"|30|44|76|203|203|203|127|159|173|"21828728"|"12164178"
"Calcic horizon"|104|133|137|203|203|203|66|70|99|"21828728"|"12164179"
"Mollic epipedon"|0|0|0|104|133|137|104|133|137|"21828728"|"12164176"
"Slickensides"|30|44|76|203|203|203|127|159|173|"21828728"|"12164177"
"Aquic conditions"|0|0|0|23|41|71|23|41|71|"21828790"|"12164230"
"Ochric epipedon"|0|0|0|8|15|41|8|15|41|"21828790"|"12164229"
"Argillic horizon"|23|41|71|203|203|203|132|162|180|"21828790"|"12164232"
"Episaturation"|0|0|0|23|41|71|23|41|71|"21828790"|"12164231"
"Secondary carbonates"|107|113|154|203|203|203|49|90|96|"21828383"|"12163977"
"Ochric epipedon"|0|0|0|11|16|30|11|16|30|"21828383"|"12163975"
"Argillic horizon"|11|16|30|203|203|203|173|187|192|"21828383"|"12163976"
"Ochric epipedon"|0|0|0|46|63|84|46|63|64|"21828354"|"12163897"
"Argillic horizon"|36|63|84|79|203|203|43|140|157|"21828354"|"12163898"
"Secondary carbonates"|101|101|157|203|203|203|46|102|102|"21828398"|"12163986"
"Ochric epipedon"|0|0|0|9|13|60|9|13|60|"21828398"|"12163983"
"Argillic horizon"|9|13|60|203|203|203|143|190|194|"21828398"|"12163984"
