"CH"|Yes|"64460112"|"120444873"
"ML"|No |"64459942"|"120444500"
"SM"|No |"64459942"|"120444501"
"SM"|Yes|"64460057"|"120444770"
"SC-SM"|No |"64460276"|"120445179"
"SM"|Yes|"64460276"|"120445180"
"SP-SM"|No |"64459931"|"120444476"
"SM"|Yes|"64459931"|"120444477"
"CH"|Yes|"64460090"|"120444838"
"CL"|No |"64460077"|"120444818"
"CH"|Yes|"64460077"|"120444819"
"CL"|Yes|"64460334"|"120445274"
"CH"|No |"64460334"|"120445275"
"SC"|No |"64460334"|"120445276"
"SM"|Yes|"64460234"|"120445101"
"SC-SM"|No |"64460234"|"120445102"
"CH"|Yes|"64460173"|"120444991"
"SC"|No |"64459954"|"120444528"
"SM"|No |"64459954"|"120444529"
"SC-SM"|Yes|"64459954"|"120444530"
"CL"|Yes|"64460197"|"120445045"
"SC"|No |"64460197"|"120445046"
"CL"|Yes|"64460223"|"120445087"
"CL-ML"|No |"64460223"|"120445088"
"CL"|Yes|"64460171"|"120444989"
"CL"|Yes|"64460308"|"120445231"
"CL-ML"|No |"64460308"|"120445232"
"CL-ML"|No |"64459943"|"120444502"
"ML"|No |"64459943"|"120444503"
"SC-SM"|No |"64459943"|"120444504"
"SM"|No |"64459943"|"120444505"
"CH"|Yes|"64460101"|"120444847"
"SC-SM"|No |"64460059"|"120444773"
"SM"|Yes|"64460059"|"120444774"
"CH"|Yes|"64460162"|"120444975"
"CH"|Yes|"64460297"|"120445214"
"ML"|No |"64460228"|"120445094"
"CL-ML"|Yes|"64460228"|"120445095"
"CL"|No |"64460265"|"120445156"
"SM"|No |"64460265"|"120445157"
"SC"|Yes|"64460265"|"120445158"
"SC"|No |"64460038"|"120444734"
"CL"|Yes|"64460038"|"120444735"
"SP-SC"|No |"64460191"|"120445026"
"CL"|Yes|"64460191"|"120445027"
"SC"|No |"64460191"|"120445028"
"CL"|Yes|"64460212"|"120445071"
"CL"|No |"64460005"|"120444648"
"SC"|No |"64460005"|"120444649"
"CH"|Yes|"64460005"|"120444650"
"CH"|Yes|"64460066"|"120444798"
"CH"|No |"64459972"|"120444571"
"CL"|Yes|"64459972"|"120444572"
"CL-ML"|No |"64459890"|"120444383"
"CL"|Yes|"64459890"|"120444384"
"CH"|No |"64460175"|"120444994"
"CL"|Yes|"64460175"|"120444995"
"CL"|Yes|"64460088"|"120444836"
"CL"|Yes|"64460261"|"120445148"
"CL"|Yes|"64460249"|"120445129"
"CL"|Yes|"64460260"|"120445147"
"CL"|No |"64459921"|"120444451"
"SC"|Yes|"64459921"|"120444452"
"CH"|No |"64459985"|"120444600"
"SC"|No |"64459985"|"120444601"
"CL"|Yes|"64459985"|"120444602"
"CH"|Yes|"64460099"|"120444845"
"SC-SM"|No |"64460007"|"120444654"
"SM"|Yes|"64460007"|"120444655"
"CL"|Yes|"64460312"|"120445237"
"CH"|Yes|"64460271"|"120445170"
"CL"|No |"64460271"|"120445171"
"CH"|No |"64460250"|"120445130"
"CL"|Yes|"64460250"|"120445131"
"CH"|Yes|"64460201"|"120445054"
"CH"|No |"64459911"|"120444431"
"CL"|Yes|"64459911"|"120444432"
"CL"|Yes|"64460070"|"120444801"
"SM"|No |"64460275"|"120445176"
"SC"|No |"64460275"|"120445177"
"SC-SM"|Yes|"64460275"|"120445178"
"CL-ML"|No |"64460375"|"120445365"
"CL"|No |"64460375"|"120445366"
"SC-SM"|No |"64460375"|"120445367"
"SC"|No |"64460375"|"120445368"
"SM"|Yes|"64460349"|"120445305"
"CL-ML"|No |"64460349"|"120445306"
"SP-SM"|No |"64459932"|"120444478"
"SM"|Yes|"64459932"|"120444479"
"SC-SM"|No |"64460018"|"120444681"
"SP-SM"|No |"64460018"|"120444682"
"SM"|Yes|"64460018"|"120444683"
"CH"|No |"64460238"|"120445110"
"CL"|Yes|"64460238"|"120445111"
"SC"|No |"64460238"|"120445112"
"CH"|Yes|"64460202"|"120445055"
"ML"|No |"64459983"|"120444594"
"SC"|No |"64459983"|"120444595"
"SM"|No |"64459983"|"120444596"
"CL-ML"|Yes|"64459983"|"120444597"
"CH"|Yes|"64460323"|"120445253"
"CL"|No |"64460323"|"120445254"
"CL"|No |"64459953"|"120444526"
"SC"|Yes|"64459953"|"120444527"
"SC"|No |"64459994"|"120444618"
"CL"|Yes|"64459994"|"120444619"
"CH"|No |"64460213"|"120445072"
"CL"|Yes|"64460213"|"120445073"
"CH"|Yes|"64460164"|"120444977"
"SC-SM"|No |"64459996"|"120444624"
"SM"|Yes|"64459996"|"120444625"
"CL"|Yes|"64460069"|"120444800"
"CL"|Yes|"64460227"|"120445093"
"CL"|Yes|"64460253"|"120445136"
"SM"|No |"64460253"|"120445137"
"CL-ML"|No |"64459974"|"120444575"
"SC"|No |"64459974"|"120444576"
"SC-SM"|No |"64459974"|"120444577"
"CL"|Yes|"64459974"|"120444578"
"CL"|Yes|"64460305"|"120445226"
"SC"|No |"64460305"|"120445227"
"SM"|No |"64460264"|"120445153"
"CL"|No |"64460264"|"120445154"
"SC-SM"|Yes|"64460264"|"120445155"
"SM"|Yes|"64460235"|"120445103"
"SC-SM"|No |"64460235"|"120445104"
"SC"|Yes|"64460120"|"120444889"
"CL"|No |"64460120"|"120444890"
"SC"|No |"64459924"|"120444457"
"CL"|Yes|"64459924"|"120444458"
"CL"|Yes|"64460301"|"120445220"
"CL"|No |"64460016"|"120444675"
"SC"|No |"64460016"|"120444676"
"CH"|Yes|"64460016"|"120444677"
"CL"|Yes|"64460198"|"120445047"
"SC"|No |"64460198"|"120445048"
"CL"|Yes|"64460131"|"120444915"
"SC"|No |"64460131"|"120444916"
"CL"|Yes|"64460068"|"120444799"
"SC-SM"|Yes|"64460338"|"120445284"
"SM"|No |"64460338"|"120445285"
"SM"|No |"64460037"|"120444731"
"CL-ML"|Yes|"64460037"|"120444732"
"CL"|No |"64460037"|"120444733"
"CH"|No |"64460364"|"120445336"
"SC"|No |"64460364"|"120445337"
"CL"|No |"64460364"|"120445338"
"CL"|No |"64459913"|"120444435"
"CH"|Yes|"64459913"|"120444436"
"CL"|No |"64459900"|"120444402"
"SC"|No |"64459900"|"120444403"
"CH"|Yes|"64459900"|"120444404"
"CL"|Yes|"64460153"|"120444961"
"SC-SM"|No |"64460058"|"120444771"
"SC"|Yes|"64460058"|"120444772"
"CL"|Yes|"64460132"|"120444917"
"CH"|Yes|"64460360"|"120445328"
"CL"|Yes|"64460327"|"120445260"
"CH"|No |"64460327"|"120445261"
"CH"|Yes|"64459963"|"120444545"
"CL"|Yes|"64460216"|"120445078"
"CL-ML"|No |"64459889"|"120444381"
"CL"|Yes|"64459889"|"120444382"
"CL"|Yes|"64460224"|"120445089"
"CL"|Yes|"64460342"|"120445293"
"CL-ML"|No |"64460342"|"120445294"
"SM"|No |"64460371"|"120445357"
"SC-SM"|No |"64460371"|"120445358"
"CH"|No |"64460279"|"120445185"
"CL"|Yes|"64460279"|"120445186"
"CH"|Yes|"64460121"|"120444891"
"CL-ML"|Yes|"64460316"|"120445243"
"ML"|No |"64460316"|"120445244"
"CH"|Yes|"64460100"|"120444846"
"CL-ML"|No |"64459933"|"120444480"
"ML"|No |"64459933"|"120444481"
"SC-SM"|No |"64459933"|"120444482"
"SM"|No |"64459933"|"120444483"
"CH"|Yes|"64460290"|"120445207"
"ML"|No |"64459902"|"120444407"
"SC"|No |"64459902"|"120444408"
"SM"|No |"64459902"|"120444409"
"CL"|Yes|"64459902"|"120444410"
"CL-ML"|No |"64460079"|"120444822"
"SC-SM"|No |"64460079"|"120444823"
"SM"|No |"64460079"|"120444824"
"ML"|Yes|"64460079"|"120444825"
"SC"|No |"64460036"|"120444725"
"SM"|No |"64460036"|"120444726"
"SC-SM"|Yes|"64460036"|"120444727"
"ML"|No |"64460036"|"120444728"
