"Silty clay loam"||"139931190"|"142328347"
"Silty clay loam"||"139931374"|"142328382"
"Silt loam"||"139931289"|"142328111"
"Loam"||"139931409"|"142328200"
"Silt loam"||"139931219"|"142328119"
"Sandy clay loam"||"139931388"|"142328335"
"Silty clay loam"||"139931293"|"142328321"
"Silt loam"||"139931271"|"142328317"
"Silt loam"||"139931348"|"142328296"
"Silty clay loam"||"139931193"|"142328151"
"Silty clay loam"||"139931315"|"142328280"
"Silt loam"||"139931326"|"142328215"
"Clay"||"139931274"|"142328106"
"Loamy sand"||"139931352"|"142328161"
"Clay loam"||"139931245"|"142328357"
"Silt loam"||"139931182"|"142328272"
"Silty clay loam"||"139931419"|"142328224"
"Silt loam"||"139931171"|"142328123"
"Silt loam"||"139931175"|"142328164"
"Very fine sandy loam"||"139931256"|"142328218"
"Silty clay loam"||"139931267"|"142328176"
"Silt loam"||"139931308"|"142328252"
"Silty clay loam"||"139931234"|"142328206"
"Silt loam"||"139931230"|"142328207"
"Silt loam"||"139931160"|"142328187"
"Silt loam"||"139931300"|"142328250"
"Silt loam"||"139931282"|"142328181"
"Silt loam"||"139931311"|"142328115"
"Silty clay loam"||"139931197"|"142328222"
"Silty clay loam"||"139931337"|"142328353"
"Silty clay"||"139931363"|"142328232"
"Clay"||"139931208"|"142328315"
"Silty clay loam"||"139931322"|"142328378"
"Fine sandy loam"||"139931259"|"142328165"
"Silt loam"||"139931186"|"142328348"
"Silt loam"||"139931323"|"142328214"
"Silt loam"||"139931223"|"142328375"
"Silty clay loam"||"139931286"|"142328247"
"Silty clay"||"139931381"|"142328238"
"Silty clay loam"||"139931344"|"142328295"
"Silt loam"||"139931297"|"142328251"
"Clay"||"139931212"|"142328169"
"Sandy loam"||"139931270"|"142328316"
"Clay"||"139931285"|"142328109"
"Clay loam"||"139931249"|"142328360"
"Silt loam"||"139931164"|"142328374"
"Silty clay loam"||"139931359"|"142328370"
"Silty clay loam"||"139931386"|"142328333"
"Silt loam"||"139931227"|"142328204"
"Silty clay loam"||"139931201"|"142328154"
"Silt loam"||"139931408"|"142328129"
"Silt loam"||"139931399"|"142328336"
"Clay"||"139931153"|"142328240"
"Silt loam"||"139931238"|"142328210"
"Silty clay loam"||"139931275"|"142328243"
"Silty clay loam"||"139931296"|"142328185"
