"Ochric epipedon"|0|0|0|30|38|43|30|38|43|"23386871"|"13719381"
"Albic horizon"|6|8|25|30|38|43|5|30|35|"23386871"|"13719382"
"Argillic horizon"|30|38|43|64|135|185|21|97|155|"23386871"|"13719383"
"Ochric epipedon"|0|0|0|8|13|20|8|13|20|"23386872"|"13719384"
"Albic horizon"|8|13|20|36|43|51|16|30|43|"23386872"|"13719385"
"Argillic horizon"|36|43|51|97|102|112|46|59|76|"23386872"|"13719386"
"Glossic horizon"|36|43|51|97|102|112|46|59|76|"23386872"|"13719387"
"Ochric epipedon"|0|0|0|10|25|30|10|25|30|"23386876"|"13719392"
"Cambic horizon"|10|25|30|56|107|152|46|82|142|"23386876"|"13719393"
"Aquic conditions"|61|76|102|200|200|200|98|124|139|"23386898"|"13719409"
"Ochric epipedon"|0|0|0|15|18|23|15|18|23|"23386898"|"13719410"
"Ochric epipedon"|0|0|0|10|15|23|10|15|23|"23386899"|"13719411"
"Aquic conditions"|40|58|75|122|183|200|82|125|160|"23386899"|"13719412"
"Ochric epipedon"|0|0|0|10|15|20|10|15|20|"23386855"|"13719370"
"Cambic horizon"|10|15|20|35|140|152|15|125|142|"23386855"|"13719371"
"Ochric epipedon"|0|0|0|10|18|30|10|18|30|"23386842"|"13719358"
"Argillic horizon"|15|41|45|86|105|117|51|64|102|"23386842"|"13719359"
"Ochric epipedon"|0|0|0|30|38|43|30|38|43|"23386843"|"13719360"
"Albic horizon"|8|15|25|30|38|43|5|23|35|"23386843"|"13719361"
"Argillic horizon"|30|38|43|64|142|185|21|104|155|"23386843"|"13719362"
"Ochric epipedon"|0|0|0|10|15|23|10|15|23|"23386844"|"13719363"
"Aquic conditions"|40|58|75|122|183|200|82|125|160|"23386844"|"13719364"
"Ochric epipedon"|0|0|0|8|13|20|8|13|20|"23386853"|"13719365"
"Albic horizon"|8|13|20|36|43|51|16|30|43|"23386853"|"13719366"
"Argillic horizon"|36|43|51|97|102|112|46|59|76|"23386853"|"13719367"
"Glossic horizon"|36|43|51|97|102|112|46|59|76|"23386853"|"13719368"
"Ochric epipedon"|0|0|0|10|15|23|10|15|23|"23386854"|"13719369"
"Ochric epipedon"|0|0|0|8|13|30|8|13|30|"23386857"|"13719372"
"Albic horizon"|8|13|30|15|25|46|7|12|38|"23386857"|"13719373"
"Albic materials"|15|25|46|30|41|102|15|16|56|"23386857"|"13719374"
"Natric horizon"|30|41|102|60|137|152|30|96|122|"23386857"|"13719375"
"Argillic horizon"|15|25|46|60|137|152|45|112|137|"23386857"|"13719376"
"Glossic horizon"|15|25|46|60|137|152|45|112|137|"23386857"|"13719377"
"Glossic horizon"|15|23|38|28|43|76|13|20|38|"23386900"|"13719413"
"Argillic horizon"|28|43|76|53|107|140|25|64|64|"23386900"|"13719414"
"Albic materials"|15|23|38|28|43|76|13|20|38|"23386900"|"13719415"
"Ochric epipedon"|0|0|0|15|23|38|15|23|38|"23386900"|"13719416"
"Ochric epipedon"|0|0|0|10|13|20|10|13|20|"23386901"|"13719417"
"Albic materials"|10|13|20|20|25|48|10|12|38|"23386901"|"13719418"
"Argillic horizon"|20|25|48|35|41|172|15|16|152|"23386901"|"13719419"
"Ochric epipedon"|0|0|0|10|13|25|10|13|25|"23386875"|"13719388"
"Cambic horizon"|10|13|25|71|142|200|61|129|190|"23386875"|"13719389"
"Slickensides"|10|41|55|61|94|157|51|53|147|"23386875"|"13719390"
"Episaturation"|0|0|0|10|41|55|10|41|55|"23386875"|"13719391"
"Ochric epipedon"|0|0|0|10|15|23|10|15|23|"23386880"|"13719397"
"Argillic horizon"|15|25|36|93|132|203|78|107|188|"23386880"|"13719398"
"Fragipan"|45|69|117|96|132|203|51|63|158|"23386880"|"13719399"
"Ochric epipedon"|0|0|0|10|13|23|10|13|23|"23386859"|"13719378"
"Argillic horizon"|20|26|39|71|138|192|51|112|118|"23386859"|"13719379"
"Fragipan"|50|74|104|71|138|192|33|64|142|"23386859"|"13719380"
"Ochric epipedon"|0|0|0|8|10|13|8|10|13|"23386878"|"13719394"
"Fragipan"|43|69|107|93|132|200|50|63|157|"23386878"|"13719395"
"Argillic horizon"|13|22|26|68|132|200|55|110|187|"23386878"|"13719396"
"Ochric epipedon"|0|0|0|13|20|30|13|20|30|"23386881"|"13719400"
"Albic materials"|13|20|30|23|36|91|10|16|78|"23386881"|"13719401"
"Argillic horizon"|23|36|91|69|86|167|46|50|144|"23386881"|"13719402"
"Argillic horizon"|28|43|89|66|97|191|38|54|163|"23386882"|"13719403"
"Mollic epipedon"|0|0|0|28|43|89|28|43|89|"23386882"|"13719404"
"Ochric epipedon"|0|0|0|8|20|25|8|20|25|"23386883"|"13719405"
"Argillic horizon"|18|30|56|51|112|183|33|82|165|"23386883"|"13719406"
"Natric horizon"|18|30|56|51|112|183|33|82|165|"23386883"|"13719407"
"Albic horizon"|8|20|25|18|30|56|10|10|48|"23386883"|"13719408"
