1|"January"||||||||||||||"23394253"|"244622618"
2|"February"||||||||||||||"23394253"|"244622617"
3|"March"||||||||||||||"23394253"|"244622621"
4|"April"||||||||||||||"23394253"|"244622614"
5|"May"||||||||||||||"23394253"|"244622622"
6|"June"||||||||||||||"23394253"|"244622620"
7|"July"||||||||||||||"23394253"|"244622619"
8|"August"||||||||||||||"23394253"|"244622615"
9|"September"||||||||||||||"23394253"|"244622625"
10|"October"||||||||||||||"23394253"|"244622624"
11|"November"||||||||||||||"23394253"|"244622623"
12|"December"||||||||||||||"23394253"|"244622616"
1|"January"||||||||||||||"23394254"|"244622630"
2|"February"||||||||||||||"23394254"|"244622629"
3|"March"||||||||||||||"23394254"|"244622633"
4|"April"||||||||||||||"23394254"|"244622626"
5|"May"||||||||||||||"23394254"|"244622634"
6|"June"||||||||||||||"23394254"|"244622632"
7|"July"||||||||||||||"23394254"|"244622631"
8|"August"||||||||||||||"23394254"|"244622627"
9|"September"||||||||||||||"23394254"|"244622637"
10|"October"||||||||||||||"23394254"|"244622636"
11|"November"||||||||||||||"23394254"|"244622635"
12|"December"||||||||||||||"23394254"|"244622628"
3|"March"|"None"||"None"|||||||||||"23394255"|"244622645"
2|"February"|"None"||"None"|||||||||||"23394255"|"244622641"
1|"January"|"None"||"None"|||||||||||"23394255"|"244622642"
12|"December"|"None"||"None"|||||||||||"23394255"|"244622640"
10|"October"|"None"||"None"|||||||||||"23394255"|"244622648"
9|"September"|"None"||"None"|||||||||||"23394255"|"244622649"
8|"August"|"None"||"None"|||||||||||"23394255"|"244622639"
7|"July"|"None"||"None"|||||||||||"23394255"|"244622643"
5|"May"|"None"||"None"|||||||||||"23394255"|"244622646"
6|"June"|"None"||"None"|||||||||||"23394255"|"244622644"
4|"April"|"None"||"None"|||||||||||"23394255"|"244622638"
11|"November"|"None"||"None"|||||||||||"23394255"|"244622647"
3|"March"|"None"||"None"|||||||||||"23394256"|"244622657"
2|"February"|"None"||"None"|||||||||||"23394256"|"244622653"
1|"January"|"None"||"None"|||||||||||"23394256"|"244622654"
12|"December"|"None"||"None"|||||||||||"23394256"|"244622652"
10|"October"|"None"||"None"|||||||||||"23394256"|"244622660"
8|"August"|"None"||"None"|||||||||||"23394256"|"244622651"
7|"July"|"None"||"None"|||||||||||"23394256"|"244622655"
5|"May"|"None"||"None"|||||||||||"23394256"|"244622658"
6|"June"|"None"||"None"|||||||||||"23394256"|"244622656"
4|"April"|"None"||"None"|||||||||||"23394256"|"244622650"
11|"November"|"None"||"None"|||||||||||"23394256"|"244622659"
9|"September"|"None"||"None"|||||||||||"23394256"|"244622661"
1|"January"||||||||||||||"23394257"|"244622666"
2|"February"||||||||||||||"23394257"|"244622665"
3|"March"||||||||||||||"23394257"|"244622669"
4|"April"||||||||||||||"23394257"|"244622662"
5|"May"||||||||||||||"23394257"|"244622670"
6|"June"||||||||||||||"23394257"|"244622668"
7|"July"||||||||||||||"23394257"|"244622667"
8|"August"||||||||||||||"23394257"|"244622663"
9|"September"||||||||||||||"23394257"|"244622673"
10|"October"||||||||||||||"23394257"|"244622672"
11|"November"||||||||||||||"23394257"|"244622671"
12|"December"||||||||||||||"23394257"|"244622664"
12|"December"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"23394270"|"244622829"
4|"April"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"23394270"|"244622818"
3|"March"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"23394270"|"244622821"
2|"February"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"23394270"|"244622819"
1|"January"|"Frequent"|"Brief (2 to 7 days)"|"None"|||||||||||"23394270"|"244622820"
11|"November"|||"None"|||||||||||"23394270"|"244622828"
10|"October"|||"None"|||||||||||"23394270"|"244622827"
9|"September"|||"None"|||||||||||"23394270"|"244622826"
8|"August"|||"None"|||||||||||"23394270"|"244622825"
7|"July"|||"None"|||||||||||"23394270"|"244622824"
6|"June"|||"None"|||||||||||"23394270"|"244622823"
5|"May"|||"None"|||||||||||"23394270"|"244622822"
1|"January"||||||||||||||"23394271"|"244622834"
2|"February"||||||||||||||"23394271"|"244622833"
3|"March"||||||||||||||"23394271"|"244622837"
4|"April"||||||||||||||"23394271"|"244622830"
5|"May"||||||||||||||"23394271"|"244622838"
6|"June"||||||||||||||"23394271"|"244622836"
7|"July"||||||||||||||"23394271"|"244622835"
8|"August"||||||||||||||"23394271"|"244622831"
9|"September"||||||||||||||"23394271"|"244622841"
10|"October"||||||||||||||"23394271"|"244622840"
11|"November"||||||||||||||"23394271"|"244622839"
12|"December"||||||||||||||"23394271"|"244622832"
1|"January"||||||||||||||"23394272"|"244622846"
2|"February"||||||||||||||"23394272"|"244622845"
3|"March"||||||||||||||"23394272"|"244622849"
4|"April"||||||||||||||"23394272"|"244622842"
5|"May"||||||||||||||"23394272"|"244622850"
6|"June"||||||||||||||"23394272"|"244622848"
7|"July"||||||||||||||"23394272"|"244622847"
9|"September"||||||||||||||"23394272"|"244622853"
8|"August"||||||||||||||"23394272"|"244622843"
10|"October"||||||||||||||"23394272"|"244622852"
11|"November"||||||||||||||"23394272"|"244622851"
12|"December"||||||||||||||"23394272"|"244622844"
9|"September"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622972"
11|"November"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622966"
3|"March"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622963"
4|"April"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622964"
6|"June"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622969"
5|"May"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622965"
7|"July"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622970"
8|"August"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622971"
10|"October"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622973"
12|"December"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622967"
1|"January"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622968"
2|"February"|"None"||"Rare"|"Brief (2 to 7 days)"||||||||||"23394284"|"244622962"
3|"March"|"None"||"None"|||||||||||"23394285"|"244622976"
2|"February"|"None"||"None"|||||||||||"23394285"|"244622975"
1|"January"|"None"||"None"|||||||||||"23394285"|"244622974"
12|"December"|"None"||"None"|||||||||||"23394285"|"244622980"
11|"November"|"None"||"None"|||||||||||"23394285"|"244622979"
10|"October"|"None"||"None"|||||||||||"23394285"|"244622985"
9|"September"|"None"||"None"|||||||||||"23394285"|"244622984"
8|"August"|"None"||"None"|||||||||||"23394285"|"244622983"
7|"July"|"None"||"None"|||||||||||"23394285"|"244622982"
6|"June"|"None"||"None"|||||||||||"23394285"|"244622981"
5|"May"|"None"||"None"|||||||||||"23394285"|"244622978"
4|"April"|"None"||"None"|||||||||||"23394285"|"244622977"
3|"March"|"None"||"None"|||||||||||"23394286"|"244622988"
2|"February"|"None"||"None"|||||||||||"23394286"|"244622987"
1|"January"|"None"||"None"|||||||||||"23394286"|"244622986"
12|"December"|"None"||"None"|||||||||||"23394286"|"244622997"
11|"November"|"None"||"None"|||||||||||"23394286"|"244622996"
10|"October"|"None"||"None"|||||||||||"23394286"|"244622995"
9|"September"|"None"||"None"|||||||||||"23394286"|"244622994"
8|"August"|"None"||"None"|||||||||||"23394286"|"244622993"
7|"July"|"None"||"None"|||||||||||"23394286"|"244622992"
6|"June"|"None"||"None"|||||||||||"23394286"|"244622991"
5|"May"|"None"||"None"|||||||||||"23394286"|"244622990"
4|"April"|"None"||"None"|||||||||||"23394286"|"244622989"
2|"February"|"None"||"None"|||||||||||"23394287"|"244623008"
8|"August"|"None"||"None"|||||||||||"23394287"|"244623000"
7|"July"|"None"||"None"|||||||||||"23394287"|"244622999"
6|"June"|"None"||"None"|||||||||||"23394287"|"244622998"
5|"May"|"None"||"None"|||||||||||"23394287"|"244623005"
4|"April"|"None"||"None"|||||||||||"23394287"|"244623006"
1|"January"|"None"||"None"|||||||||||"23394287"|"244623009"
3|"March"|"None"||"None"|||||||||||"23394287"|"244623007"
12|"December"|"None"||"None"|||||||||||"23394287"|"244623003"
11|"November"|"None"||"None"|||||||||||"23394287"|"244623004"
10|"October"|"None"||"None"|||||||||||"23394287"|"244623002"
9|"September"|"None"||"None"|||||||||||"23394287"|"244623001"
3|"March"|"None"||"None"|||||||||||"23394273"|"244622861"
2|"February"|"None"||"None"|||||||||||"23394273"|"244622857"
1|"January"|"None"||"None"|||||||||||"23394273"|"244622858"
12|"December"|"None"||"None"|||||||||||"23394273"|"244622856"
10|"October"|"None"||"None"|||||||||||"23394273"|"244622864"
11|"November"|"None"||"None"|||||||||||"23394273"|"244622863"
8|"August"|"None"||"None"|||||||||||"23394273"|"244622855"
9|"September"|"None"||"None"|||||||||||"23394273"|"244622865"
7|"July"|"None"||"None"|||||||||||"23394273"|"244622859"
6|"June"|"None"||"None"|||||||||||"23394273"|"244622860"
5|"May"|"None"||"None"|||||||||||"23394273"|"244622862"
4|"April"|"None"||"None"|||||||||||"23394273"|"244622854"
1|"January"||||||||||||||"23394274"|"244622870"
2|"February"||||||||||||||"23394274"|"244622869"
3|"March"||||||||||||||"23394274"|"244622873"
4|"April"||||||||||||||"23394274"|"244622866"
5|"May"||||||||||||||"23394274"|"244622874"
6|"June"||||||||||||||"23394274"|"244622872"
7|"July"||||||||||||||"23394274"|"244622871"
8|"August"||||||||||||||"23394274"|"244622867"
9|"September"||||||||||||||"23394274"|"244622877"
10|"October"||||||||||||||"23394274"|"244622876"
11|"November"||||||||||||||"23394274"|"244622875"
12|"December"||||||||||||||"23394274"|"244622868"
3|"March"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23394275"|"244622884"
1|"January"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23394275"|"244622881"
2|"February"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23394275"|"244622880"
6|"June"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23394275"|"244622883"
7|"July"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23394275"|"244622882"
4|"April"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23394275"|"244622878"
5|"May"|"Frequent"|"Long (7 to 30 days)"|"None"|||||||||||"23394275"|"244622885"
