"g"|"69342533"|"29204217"
"t"|"69342439"|"29204305"
"g"|"69342572"|"29204365"
"g"|"69342491"|"29204278"
"g"|"69342364"|"29204216"
"p"|"69342524"|"29204201"
"g"|"69342386"|"29204350"
"t"|"69342386"|"29204349"
"g"|"69342489"|"29204276"
"t"|"69342489"|"29204275"
"t"|"69342426"|"29204254"
"x"|"69342426"|"29204255"
"g"|"69342502"|"29204173"
"ss"|"69342502"|"29204172"
"p"|"69342385"|"29204348"
"t"|"69342500"|"29204337"
"x"|"69342500"|"29204338"
"p"|"69342552"|"29204286"
"t"|"69342428"|"29204257"
"x"|"69342428"|"29204258"
"p"|"69342511"|"29204232"
"t"|"69342333"|"29204308"
"x"|"69342419"|"29204243"
"t"|"69342375"|"29204261"
"x"|"69342375"|"29204262"
"t"|"69342417"|"29204245"
"x"|"69342417"|"29204244"
"t"|"69342480"|"29204248"
"x"|"69342480"|"29204249"
"g"|"69342490"|"29204277"
"t"|"69342563"|"29204362"
"x"|"69342563"|"29204363"
"t"|"69342406"|"29204229"
"x"|"69342406"|"29204228"
"g"|"69342565"|"29204353"
"t"|"69342395"|"29204303"
"g"|"69342356"|"29204188"
"t"|"69342356"|"29204189"
"g"|"69342553"|"29204287"
"t"|"69342334"|"29204309"
"x"|"69342334"|"29204310"
"g"|"69342345"|"29204183"
"t"|"69342345"|"29204182"
"t"|"69342543"|"29204267"
"x"|"69342543"|"29204266"
"p"|"69342449"|"29204311"
"g"|"69342470"|"29204197"
"t"|"69342448"|"29204322"
"t"|"69342384"|"29204345"
"g"|"69342486"|"29204272"
"t"|"69342486"|"29204271"
"p"|"69342331"|"29204327"
"t"|"69342479"|"29204247"
"g"|"69342387"|"29204351"
"g"|"69342468"|"29204195"
"t"|"69342468"|"29204194"
"g"|"69342398"|"29204296"
"t"|"69342372"|"29204259"
"g"|"69342523"|"29204203"
"t"|"69342523"|"29204202"
"w"|"69342416"|"29204242"
"t"|"69342453"|"29204315"
"x"|"69342453"|"29204316"
"t"|"69342383"|"29204346"
"x"|"69342383"|"29204347"
"p"|"69342549"|"29204283"
"t"|"69342475"|"29204219"
"g"|"69342509"|"29204234"
"t"|"69342509"|"29204235"
"g"|"69342567"|"29204359"
"t"|"69342567"|"29204358"
"g"|"69342346"|"29204230"
"g"|"69342530"|"29204241"
"t"|"69342498"|"29204336"
"t"|"69342394"|"29204289"
"g"|"69342493"|"29204343"
"t"|"69342541"|"29204251"
"x"|"69342541"|"29204252"
"g"|"69342457"|"29204177"
"ss"|"69342457"|"29204176"
"p"|"69342471"|"29204196"
"g"|"69342494"|"29204341"
"t"|"69342494"|"29204340"
"t"|"69342342"|"29204179"
"t"|"69342445"|"29204318"
"p"|"69342350"|"29204184"
"t"|"69342324"|"29204324"
"t"|"69342379"|"29204221"
"g"|"69342361"|"29204206"
"t"|"69342361"|"29204205"
"g"|"69342556"|"29204331"
"g"|"69342483"|"29204268"
"t"|"69342446"|"29204319"
"t"|"69342545"|"29204265"
"g"|"69342400"|"29204301"
"t"|"69342400"|"29204300"
"g"|"69342546"|"29204282"
"g"|"69342550"|"29204285"
"t"|"69342328"|"29204328"
"p"|"69342559"|"29204360"
"g"|"69342390"|"29204291"
"p"|"69342570"|"29204364"
"g"|"69342557"|"29204332"
"ss"|"69342557"|"29204333"
"g"|"69342465"|"29204193"
"t"|"69342465"|"29204192"
"g"|"69342391"|"29204293"
"t"|"69342391"|"29204292"
"t"|"69342441"|"29204306"
"x"|"69342441"|"29204307"
"g"|"69342568"|"29204357"
"p"|"69342349"|"29204231"
"p"|"69342528"|"29204207"
"g"|"69342487"|"29204273"
"g"|"69342401"|"29204302"
"t"|"69342452"|"29204313"
"x"|"69342452"|"29204314"
"p"|"69342380"|"29204344"
"w"|"69342338"|"29204226"
"p"|"69342393"|"29204288"
"g"|"69342485"|"29204270"
"g"|"69342358"|"29204200"
"t"|"69342358"|"29204199"
"p"|"69342443"|"29204317"
"t"|"69342433"|"29204264"
"g"|"69342347"|"29204181"
"t"|"69342347"|"29204180"
"w"|"69342411"|"29204212"
"t"|"69342527"|"29204211"
"w"|"69342506"|"29204227"
"g"|"69342402"|"29204297"
"g"|"69342517"|"29204236"
"g"|"69342548"|"29204280"
"ss"|"69342548"|"29204281"
"g"|"69342569"|"29204356"
"p"|"69342496"|"29204335"
"g"|"69342516"|"29204240"
"t"|"69342516"|"29204239"
"t"|"69342412"|"29204215"
"x"|"69342412"|"29204214"
"t"|"69342423"|"29204263"
"g"|"69342495"|"29204342"
"t"|"69342538"|"29204220"
"g"|"69342473"|"29204246"
"g"|"69342399"|"29204299"
"t"|"69342399"|"29204298"
"g"|"69342558"|"29204334"
"g"|"69342455"|"29204175"
"ss"|"69342455"|"29204174"
"t"|"69342447"|"29204320"
"p"|"69342492"|"29204339"
"p"|"69342389"|"29204290"
"p"|"69342444"|"29204321"
"p"|"69342547"|"29204279"
"t"|"69342377"|"29204222"
"x"|"69342377"|"29204223"
"p"|"69342484"|"29204269"
"g"|"69342481"|"29204224"
"t"|"69342481"|"29204225"
"p"|"69342510"|"29204233"
"p"|"69342440"|"29204304"
"p"|"69342488"|"29204274"
"g"|"69342367"|"29204218"
"g"|"69342573"|"29204368"
"t"|"69342573"|"29204367"
"x"|"69342573"|"29204366"
"t"|"69342429"|"29204256"
"p"|"69342362"|"29204204"
"g"|"69342388"|"29204352"
"t"|"69342521"|"29204187"
"p"|"69342325"|"29204323"
"p"|"69342555"|"29204330"
"g"|"69342348"|"29204185"
"t"|"69342348"|"29204186"
"g"|"69342529"|"29204209"
"n"|"69342529"|"29204208"
"t"|"69342529"|"29204210"
"p"|"69342359"|"29204198"
"w"|"69342503"|"29204178"
"t"|"69342451"|"29204312"
"t"|"69342425"|"29204253"
"x"|"69342414"|"29204213"
"g"|"69342462"|"29204191"
"t"|"69342462"|"29204190"
"g"|"69342518"|"29204237"
"t"|"69342518"|"29204238"
"g"|"69342566"|"29204355"
"t"|"69342566"|"29204354"
"p"|"69342403"|"29204295"
"t"|"69342374"|"29204260"
"t"|"69342561"|"29204361"
"t"|"69342540"|"29204250"
"g"|"69342337"|"29204171"
"ss"|"69342337"|"29204170"
"t"|"69342329"|"29204329"
"g"|"69342392"|"29204294"
"t"|"69342326"|"29204325"
"x"|"69342326"|"29204326"
"g"|"69342551"|"29204284"
