"Cg"||"C"|||91|124|200|200|200|200|0|76|109|0|0|0|0|0|0|100|100|100|100|100|100|90|99|100|81|94|100|0|6.4|20|0|0.1|0.3|0|0.3|0.9|0|1.2|3.8|0|3.4|10.6|0|1.4|4.4|20|37.8|65|3.3|6.3|10.8|16.7|31.5|54.2|35|55.8|75|0|4|10|0.5|0.75|1||||1.15|1.25|1.35||||1.62|1.69|1.75|2.56|0.01|0.4|0.4|0.08|0.09|0.1||||21.1|43.1|46.2|18|29.6|39.7|46|50|53|3.8|9.1|16.9|45|66|85|21|39|55|20|44|65|".24"|".24"|0|0|3|0|0|2|0|0|4|0|1|2|20|31.8|50||||16|28|48|6.1|6.7|7.3|6.1|6.3|7.3|||||||2.4|5.4|8.7|||||||||||||||||||"Moderate"|"Very moist"|"23394462"|"69342546"
"Ap"||"A"|||0|0|0|10|13|30|10|13|30|0|0|0|0|0|0|100|100|100|100|100|100|89|96|100|76|84|93|0|17.2|20|0|0.6|0.7|0|2.3|2.7|0|4|4.7|0|8|9.2|0|2.3|2.7|20|33.7|40|4.3|7.2|8.5|15.7|26.5|31.5|40|49.1|70|0|0|0|1.5|4|5||||1.1|1.2|1.3||||1.55|1.62|1.68|2.52|0.4|0.4|0.4|0.11|0.12|0.13||||25.9|42.7|46.5|21.8|28.7|39.8|47|50|54|6.3|10.1|16.1|54|68|88|29|36|51|22|34|57|".20"|".20"|0|0|0|0|0|0|0|0|0|0|1|2|25|37.9|50||||22|35|48|6.1|6.7|7.3|6.1|6.5|7.3|||||||3.2|7.2|10.5|||||||||||||||||||"Moderate"|"Very moist"|"23394462"|"69342547"
"Bssg"||"B"|||10|13|30|91|124|200|61|111|190|0|0|0|0|0|0|100|100|100|100|100|100|95|100|100|91|99|100|0|0.8|10|0|0.1|1.3|0|0.2|2.5|0|0.1|1.3|0|0.1|2.5|0|0.3|3.8|15|28.6|40|1.7|1.7|2.5|13.3|26.9|37.5|60|70.6|85|0|0|0|0.75|0.9|1.5||||1.05|1.15|1.25||||1.49|1.74|1.84|2.53|0.01|0.21|0.4|0.09|0.1|0.11||||45.7|47.5|49.7|30.5|35.8|43.4|50|53|57|10.9|16.1|21.3|70|84|102|44|53|64|45|63|79|".20"|".20"|0|0|3|0|0|2|0|0|4|0|1|2|35|49.7|60||||31|45|58|6.1|6.6|7.3|6.1|6.3|7.3|||||||3.4|6.9|9.6|||||||||||||||||||"Moderate"|"Very moist"|"23394462"|"69342548"
"2Cg"|2|"C"|||51|74|91|203|203|203|112|129|152|0|0|0|0|0|0|100|100|100|100|100|100|90|95|99|27|32|37|67|80.8|90|0|0|0|1.6|1.9|2.1|11.6|14|15.6|35.3|42.6|47.5|18.5|22.3|24.8|3|9.2|21|||||||7|10|12|0|0|0|0|0.5|0.75||||1.49|1.56|1.64||||1.56|1.63|1.7||0.42|7|14|0.1|0.16|0.22|19.4|22.1|23.4|13.8|16.9|18.6|4.6|7.2|8.9|41|43|44|0.3|0.8|1.4|18|22|25|3|6|7|0|2|9|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|1.5|6.2|12.8||||0.5|9.6|14.3|5.6|7|8.4||||||||||0|0|9.9|||||||||||||||||||"Low"|"Moist"|"23394463"|"69342550"
"Ap"||"A"|||0|0|0|8|13|18|8|13|18|0|0|0|0|0|0|100|100|100|100|100|100|86|96|100|71|86|100|10|17.1|20|0.9|1.5|1.8|1.2|2.1|2.4|1.7|2.9|3.4|3.1|5.3|6.2|3.1|5.3|6.2|5|20.9|55|||||||35|62|75|0|0|0|1|2|3||||1.22|1.3|1.38||||1.53|1.61|1.68||0.01|0.21|0.42|0.15|0.18|0.2||||29.8|38.7|40.5|20.5|36.4|36.4|38|40|42|5.3|13|20.2|50|71|92|25|43.5|62|25|48|74|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|22.8|42.4|63.2||||4.4|39.8|64.7|5.6|6.7|7.8||||||||||3.9|19.6|35.8|||||||||||||||||||"Moderate"|"Very moist"|"23394463"|"69342549"
"Bg"||"B"|||8|13|18|51|74|91|33|61|83|0|0|0|0|0|0|100|100|100|100|100|100|86|96|100|71|86|100|10|17.1|20|0.9|1.5|1.8|1.2|2.1|2.4|1.7|2.9|3.4|3.1|5.3|6.2|3.1|5.3|6.2|5|16.9|55|||||||35|66|75|0|0|0|0|0.5|0.75||||1.26|1.38|1.51||||1.59|1.71|1.78||0.01|0.21|0.42|0.15|0.18|0.2||||29|39.3|40.5|19.2|36.9|40.1|39|41|43|1.7|8|11.8|43|74|84|24|48|55|25|48|74|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|6|26.8|40||||0.4|24.1|41.5|5.6|6.7|7.8||||||||||0|11.2|23.4|||||||||||||||||||"Moderate"|"Very moist"|"23394463"|"69342551"
"2C"|2|"C"|||74|86|127|200|200|200|73|114|126|0|0|0|0|0|0|100|100|100|100|100|100|50|67.5|85|5|25|45|67|83|93|0.9|1.1|1.2|9.7|12|13.4|21.1|26.2|29.4|25.5|31.6|35.4|9.8|12.1|13.6|3|9|21|||||||4|8|12|0|0|0|0|0.25|0.5||||1.35|1.48|1.6||||1.38|1.51|1.63||42|92|141|0.06|0.09|0.11|16.7|20.7|23.3|10.8|15.2|18.4|2.7|5.7|8.7|37|42|46|0.1|0.6|1.3|15|19|24|1|4|7|0|0|0|".15"|".15"|0|0|0|0|0|0|0|0|0|0|0|0|1|8|15||||0.7|7|14|5.1|6.2|7.3||||||||||0|4.3|13.4|||||||||||||||||||"Low"|"Moist"|"23394464"|"69342554"
"Ap"||"A"|||0|0|0|10|13|15|10|13|15|0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|75|85|95|0.5|1.8|3|0|0|0|0|0|0|0|0.1|0.2|0.2|0.5|0.8|0.3|1.2|2|22|36.2|59.5|||||||40|62|75|0|0|0|1|2|3||||1.2|1.35|1.5||||1.71|1.86|2.09||0.42|1|1.4|0.12|0.15|0.18||||32.2|42.1|44|22.5|35.1|42.8|40|45|51|6.3|11.2|15.6|52|75|91|29|46|55|21|43|63|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|25|35|45||||18|30|41|5.1|5.8|6.5||||||||||11.5|20.4|29.3|||||||||||||||||||"Moderate"|"Very moist"|"23394464"|"69342552"
"Bg"||"B"|||10|13|15|74|86|127|59|73|117|0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|75|85|95|0.5|1.8|3|0|0|0|0|0|0|0|0.1|0.2|0.2|0.5|0.8|0.3|1.2|2|22|32.2|59.5|||||||40|66|75|0|0|0|0.5|0.75|1||||1.2|1.35|1.5||||1.7|1.85|2.09||0.01|0.21|0.42|0.12|0.15|0.18||||30.6|42.7|44|21.9|35.9|40.9|41|46|52|5.3|11|15.6|50|76|87|29|49|56|21|46|62|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|20|32.5|45||||13|26|39|5|5.5|6||||||||||11.4|20.2|29|||||||||||||||||||"Moderate"|"Very moist"|"23394464"|"69342553"
"Cg"||"C"|||160|180|200|200|200|200|0|20|40|0|0|0|0|0|0|100|100|100|100|100|100|93|94|100|82|83|94|0|18.9|20|0|1.3|1.4|0|4|4.2|0|4.4|4.7|0|5.4|5.7|0|3.8|4|40|52.1|72|15.2|19.8|24.8|24.8|32.3|47.2|28|29|40|0|0|0|0|0.25|0.5||||1.3|1.5|1.7||||1.47|1.67|1.84||1.4|2.7|4|0.12|0.17|0.22||||31|31.6|35.4|16.8|17.7|24.6|34|41|48|3.3|3.7|7.1|38|39|51|19|20|29|14|16|30|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|19.4|21.8|29.4||||19.4|23.3|30.9|6.6|7.5|8.4||||||||||0|1.7|5.5|||||||||||||||||||"Moderate"|"Moist"|"23394465"|"69342558"
