"LVFS"|No |No |"Loamy very fine sand"|"69342645"|"140043810"
"FSL"|No |Yes|"Fine sandy loam"|"69342645"|"140043811"
"SIL"|No |Yes|"Silt loam"|"69342618"|"140043756"
"C"|No |Yes|"Clay"|"69342666"|"140043857"
"SIL"|No |Yes|"Silt loam"|"69342692"|"140043908"
"C"|No |Yes|"Clay"|"69342583"|"140043690"
"C"|No |Yes|"Clay"|"69342605"|"140043735"
"LS"|No |Yes|"Loamy sand"|"69342682"|"140043891"
"FSL"|No |No |"Fine sandy loam"|"69342596"|"140043713"
"L"|No |No |"Loam"|"69342596"|"140043714"
"SICL"|No |No |"Silty clay loam"|"69342596"|"140043715"
"SIL"|No |Yes|"Silt loam"|"69342596"|"140043716"
"C"|No |No |"Clay"|"69342634"|"140043784"
"SIC"|No |Yes|"Silty clay"|"69342634"|"140043785"
"SIC"|No |No |"Silty clay"|"69342594"|"140043710"
"C"|No |Yes|"Clay"|"69342594"|"140043711"
"SIL"|No |No |"Silt loam"|"69342693"|"140043909"
"SICL"|No |No |"Silty clay loam"|"69342693"|"140043910"
"VFSL"|No |No |"Very fine sandy loam"|"69342693"|"140043911"
"SR- SL VFSL SICL"|Yes|Yes|"Stratified sandy loam to very fine sandy loam to silty clay loam"|"69342693"|"140043912"
"SIC"|No |Yes|"Silty clay"|"69342681"|"140043889"
"C"|No |No |"Clay"|"69342681"|"140043890"
"C"|No |Yes|"Clay"|"69342660"|"140043845"
"SIL"|No |Yes|"Silt loam"|"69342671"|"140043865"
"C"|No |Yes|"Clay"|"69342607"|"140043737"
"SIL"|No |No |"Silt loam"|"69342641"|"140043799"
"L"|No |No |"Loam"|"69342641"|"140043800"
"FSL"|No |No |"Fine sandy loam"|"69342641"|"140043801"
"LS"|No |Yes|"Loamy sand"|"69342641"|"140043802"
"SIL"|No |Yes|"Silt loam"|"69342667"|"140043858"
"C"|No |Yes|"Clay"|"69342575"|"140043673"
"SIC"|No |No |"Silty clay"|"69342575"|"140043674"
"C"|No |Yes|"Clay"|"69342585"|"140043692"
"C"|No |Yes|"Clay"|"69342616"|"140043754"
"VFSL"|No |No |"Very fine sandy loam"|"69342652"|"140043826"
"SICL"|No |No |"Silty clay loam"|"69342652"|"140043827"
"SIL"|No |Yes|"Silt loam"|"69342652"|"140043828"
"L"|No |No |"Loam"|"69342652"|"140043829"
"C"|No |Yes|"Clay"|"69342689"|"140043903"
