|2||"PRAM"|"Prunus americana"|"American plum"|"23394557"|"121800458"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394557"|"121800459"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394557"|"121800460"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394557"|"121800461"
|11||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394557"|"121800462"
|7||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394557"|"121800463"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"23394557"|"121800464"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394557"|"121800465"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"23394557"|"121800466"
|9||"QUNI"|"Quercus nigra"|"water oak"|"23394557"|"121800467"
|7||"THOC2"|"Thuja occidentalis"|"eastern arborvitae"|"23394557"|"121800468"
|4||"MAMA37"|"Malus mandshurica"|"Manchurian crabapple"|"23394557"|"121800469"
|9||"CAIL2"|"Carya illinoinensis"|"pecan"|"23394561"|"121800470"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394561"|"121800471"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394561"|"121800472"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"23394561"|"121800473"
|11||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394561"|"121800474"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394561"|"121800475"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"23394561"|"121800476"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394561"|"121800477"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394561"|"121800478"
|7||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394561"|"121800479"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"23394561"|"121800480"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"23394561"|"121800481"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394562"|"121800482"
|11||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394562"|"121800483"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"23394562"|"121800484"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"23394562"|"121800485"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394562"|"121800486"
|9||"CAIL2"|"Carya illinoinensis"|"pecan"|"23394562"|"121800487"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394562"|"121800488"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394562"|"121800489"
|7||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394562"|"121800490"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"23394562"|"121800491"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394562"|"121800492"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"23394562"|"121800493"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394473"|"121800374"
|9||"CAIL2"|"Carya illinoinensis"|"pecan"|"23394473"|"121800375"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"23394473"|"121800376"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394473"|"121800377"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394473"|"121800378"
|11||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394473"|"121800379"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394473"|"121800380"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"23394473"|"121800381"
|7||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394473"|"121800382"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394473"|"121800383"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"23394473"|"121800384"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"23394473"|"121800385"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394469"|"121800338"
|10||"ACSA2"|"Acer saccharinum"|"silver maple"|"23394469"|"121800339"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394469"|"121800340"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"23394469"|"121800341"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394469"|"121800342"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"23394469"|"121800343"
|7||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"23394469"|"121800344"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394469"|"121800345"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394469"|"121800346"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394469"|"121800347"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394469"|"121800348"
|7||"CEOC"|"Celtis occidentalis"|"common hackberry"|"23394469"|"121800349"
