"CL"|Yes|"69342740"|"128975987"
"ML"|No |"69342740"|"128975986"
"CL-ML"|No |"69342703"|"128975894"
"CL"|Yes|"69342703"|"128975893"
"CL"|Yes|"69342756"|"128976012"
"CH"|Yes|"69342848"|"128976219"
"CH"|Yes|"69342744"|"128975994"
"SC-SM"|Yes|"69342814"|"128976146"
"SC"|No |"69342814"|"128976144"
"SM"|No |"69342814"|"128976145"
"CL-ML"|No |"69342729"|"128975961"
"CL"|Yes|"69342729"|"128975960"
"CL-ML"|Yes|"69342766"|"128976031"
"CL"|No |"69342766"|"128976032"
"CL-ML"|Yes|"69342803"|"128976115"
"CL"|No |"69342803"|"128976114"
"SC"|No |"69342803"|"128976116"
"CL"|Yes|"69342777"|"128976054"
"CL-ML"|Yes|"69342708"|"128975905"
"SC-SM"|No |"69342708"|"128975907"
"CL"|No |"69342708"|"128975904"
"SC"|No |"69342708"|"128975906"
"CL-ML"|Yes|"69342755"|"128976010"
"CL"|No |"69342755"|"128976009"
"ML"|No |"69342755"|"128976011"
"CL"|Yes|"69342771"|"128976045"
"CL-ML"|No |"69342719"|"128975939"
"CL"|Yes|"69342719"|"128975938"
"CL-ML"|Yes|"69342707"|"128975903"
"CL"|No |"69342707"|"128975902"
"ML"|No |"69342707"|"128975901"
"SC-SM"|Yes|"69342730"|"128975962"
"SM"|No |"69342730"|"128975963"
"CL-ML"|Yes|"69342829"|"128976172"
"CL"|No |"69342829"|"128976171"
"ML"|No |"69342829"|"128976173"
"CL-ML"|Yes|"69342718"|"128975936"
"CL"|No |"69342718"|"128975935"
"ML"|No |"69342718"|"128975937"
"CL-ML"|Yes|"69342781"|"128976062"
"CL"|No |"69342781"|"128976061"
"ML"|No |"69342781"|"128976063"
"CH"|No |"69342745"|"128975995"
"CL"|Yes|"69342745"|"128975996"
"GP"|No |"69342844"|"128976211"
"GP"|Yes|"69342844"|"128976212"
"CL"|Yes|"69342818"|"128976153"
"CH"|Yes|"69342792"|"128976085"
"CL"|No |"69342792"|"128976086"
"CL-ML"|Yes|"69342734"|"128975974"
"CL"|No |"69342734"|"128975973"
"ML"|No |"69342734"|"128975975"
"CL-ML"|Yes|"69342697"|"128975881"
"CL"|No |"69342697"|"128975883"
"ML"|No |"69342697"|"128975882"
"CH"|Yes|"69342748"|"128976000"
"CL"|Yes|"69342774"|"128976049"
"CL"|Yes|"69342733"|"128975972"
"CL-ML"|No |"69342722"|"128975944"
"CL"|Yes|"69342722"|"128975943"
"SC"|No |"69342722"|"128975945"
"CH"|Yes|"69342796"|"128976097"
"CL"|No |"69342796"|"128976098"
"SC"|No |"69342796"|"128976099"
"CL-ML"|No |"69342807"|"128976123"
"ML"|Yes|"69342807"|"128976124"
"CH"|Yes|"69342696"|"128975879"
"CL"|No |"69342696"|"128975880"
"CL"|Yes|"69342704"|"128975895"
"CL-ML"|No |"69342833"|"128976181"
"CL"|Yes|"69342833"|"128976180"
"CL-ML"|No |"69342737"|"128975981"
"CL"|Yes|"69342737"|"128975980"
"CL-ML"|No |"69342785"|"128976070"
"CL"|Yes|"69342785"|"128976069"
"CL-ML"|Yes|"69342759"|"128976019"
"CL"|No |"69342759"|"128976017"
"ML"|No |"69342759"|"128976018"
"CL"|Yes|"69342741"|"128975988"
"ML"|No |"69342741"|"128975989"
"CL"|No |"69342811"|"128976133"
"ML"|No |"69342811"|"128976134"
"SC"|Yes|"69342811"|"128976135"
"SM"|No |"69342811"|"128976136"
"CL-ML"|Yes|"69342726"|"128975955"
"CL"|No |"69342726"|"128975954"
"ML"|No |"69342726"|"128975956"
"CL-ML"|No |"69342840"|"128976201"
"CL"|Yes|"69342840"|"128976200"
"CH"|Yes|"69342711"|"128975914"
"CL"|No |"69342711"|"128975915"
"SC"|No |"69342711"|"128975916"
"CH"|Yes|"69342715"|"128975927"
"CL"|No |"69342715"|"128975928"
"SC"|Yes|"69342715"|"128975929"
"CL-ML"|No |"69342822"|"128976158"
"ML"|Yes|"69342822"|"128976159"
"CL-ML"|Yes|"69342770"|"128976043"
"CL"|No |"69342770"|"128976042"
"ML"|No |"69342770"|"128976044"
"GC-GM"|No |"69342837"|"128976194"
"SC-SM"|No |"69342837"|"128976196"
"GC"|No |"69342837"|"128976193"
"SC"|No |"69342837"|"128976195"
"CL-ML"|Yes|"69342710"|"128975910"
"SC-SM"|No |"69342710"|"128975912"
"ML"|No |"69342710"|"128975911"
"SM"|No |"69342710"|"128975913"
"CL-ML"|No |"69342825"|"128976164"
"CL"|Yes|"69342825"|"128976163"
"CL"|Yes|"69342753"|"128976007"
"GC"|No |"69342836"|"128976189"
"GM"|No |"69342836"|"128976190"
"SC"|No |"69342836"|"128976191"
"SM"|No |"69342836"|"128976192"
"CH"|Yes|"69342743"|"128975992"
"CL"|No |"69342743"|"128975993"
"CL-ML"|No |"69342700"|"128975888"
"CL"|Yes|"69342700"|"128975887"
"CL"|No |"69342815"|"128976148"
"SC"|Yes|"69342815"|"128976147"
"ML"|No |"69342721"|"128975941"
"SM"|Yes|"69342721"|"128975942"
"SC"|No |"69342816"|"128976150"
"SM"|Yes|"69342816"|"128976149"
"CH"|Yes|"69342742"|"128975990"
"CL"|No |"69342742"|"128975991"
"GC-GM"|No |"69342845"|"128976214"
"SC-SM"|No |"69342845"|"128976213"
"GM"|Yes|"69342845"|"128976215"
"SM"|No |"69342845"|"128976216"
"CL"|No |"69342731"|"128975964"
"ML"|No |"69342731"|"128975965"
"SC"|Yes|"69342731"|"128975966"
"SM"|No |"69342731"|"128975967"
"CL"|Yes|"69342720"|"128975940"
"CL-ML"|Yes|"69342763"|"128976027"
"CL"|No |"69342763"|"128976026"
"ML"|No |"69342763"|"128976028"
"CL-ML"|No |"69342805"|"128976120"
