|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394619"|"121800522"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"23394619"|"121800523"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"23394619"|"121800524"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394619"|"121800525"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394619"|"121800526"
|10||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394619"|"121800527"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"23394619"|"121800528"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394619"|"121800529"
|10||"QUNI"|"Quercus nigra"|"water oak"|"23394619"|"121800530"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394619"|"121800531"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394619"|"121800532"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394619"|"121800533"
|6||"CEOC"|"Celtis occidentalis"|"common hackberry"|"23394571"|"121800506"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394571"|"121800507"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"23394571"|"121800508"
|7||"MAPO"|"Maclura pomifera"|"osageorange"|"23394571"|"121800509"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394571"|"121800510"
|3||"ILDE"|"Ilex decidua"|"possumhaw"|"23394571"|"121800511"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394571"|"121800512"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394571"|"121800513"
|8||"PIBA2"|"Pinus banksiana"|"jack pine"|"23394571"|"121800514"
|7||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"23394571"|"121800515"
|5||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394571"|"121800516"
|7||"ROPS"|"Robinia pseudoacacia"|"black locust"|"23394571"|"121800517"
|13||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394580"|"121800518"
|2||"LOTA"|"Lonicera tatarica"|"Tatarian honeysuckle"|"23394580"|"121800519"
|4||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394580"|"121800520"
|4||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394580"|"121800521"
|6||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"23394681"|"121800558"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"23394681"|"121800559"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394681"|"121800560"
|3||"ACGI"|"Acer ginnala"|"Amur maple"|"23394681"|"121800561"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394681"|"121800562"
|3||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394681"|"121800563"
|5||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"23394681"|"121800564"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394681"|"121800565"
|5||"ROPS"|"Robinia pseudoacacia"|"black locust"|"23394681"|"121800566"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"23394681"|"121800567"
|5||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394681"|"121800568"
|9||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394681"|"121800569"
|6||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"23394676"|"121800546"
|5||"CEOC"|"Celtis occidentalis"|"common hackberry"|"23394676"|"121800547"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394676"|"121800548"
|3||"ACGI"|"Acer ginnala"|"Amur maple"|"23394676"|"121800549"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394676"|"121800550"
|3||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394676"|"121800551"
|5||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"23394676"|"121800552"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394676"|"121800553"
|5||"ROPS"|"Robinia pseudoacacia"|"black locust"|"23394676"|"121800554"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"23394676"|"121800555"
|5||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394676"|"121800556"
|9||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394676"|"121800557"
|7||"MAPO"|"Maclura pomifera"|"osageorange"|"23394654"|"121800534"
|6||"CEOC"|"Celtis occidentalis"|"common hackberry"|"23394654"|"121800535"
|6||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394654"|"121800536"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"23394654"|"121800537"
|3||"ILDE"|"Ilex decidua"|"possumhaw"|"23394654"|"121800538"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394654"|"121800539"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394654"|"121800540"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394654"|"121800541"
|7||"PIEC2"|"Pinus echinata"|"shortleaf pine"|"23394654"|"121800542"
|8||"PIBA2"|"Pinus banksiana"|"jack pine"|"23394654"|"121800543"
|7||"ROPS"|"Robinia pseudoacacia"|"black locust"|"23394654"|"121800544"
|5||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394654"|"121800545"
