"CHLAS"|"Chasmanthium laxum var. sessiliflorum"|"slender woodoats"|40||"23397103"|"96941156"
"2FP"||"other perennial forbs"|15||"23397103"|"96941157"
"PAAN"|"Panicum anceps"|"beaked panicum"|25||"23397103"|"96941158"
"2GP"||"other perennial grasses"|5||"23397103"|"96941159"
"SCSCD2"|"Schizachyrium scoparium ssp. divergens"|"little bluestem"|15||"23397103"|"96941160"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"23397106"|"96941161"
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|2||"23397106"|"96941162"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|10||"23397106"|"96941163"
"MUCAF"|"Muhlenbergia capillaris var. filipes"|"gulfhairawn muhly"|3||"23397106"|"96941164"
"ELTR4"|"Elionurus tripsacoides"|"Pan American balsamscale"|3||"23397106"|"96941165"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"23397106"|"96941166"
"2GLP"||"other  perennial  grasslikes"|5||"23397106"|"96941167"
"2TREE"||"other trees"|15||"23397106"|"96941168"
"TRSE"|"Trachypogon secundus"|"onesided crinkleawn"|7||"23397106"|"96941169"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|10||"23397160"|"96941201"
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|2||"23397160"|"96941202"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"23397160"|"96941203"
"MUCAF"|"Muhlenbergia capillaris var. filipes"|"gulfhairawn muhly"|3||"23397160"|"96941204"
"ELTR4"|"Elionurus tripsacoides"|"Pan American balsamscale"|3||"23397160"|"96941205"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"23397160"|"96941206"
"2GLP"||"other  perennial  grasslikes"|5||"23397160"|"96941207"
"2TREE"||"other trees"|15||"23397160"|"96941208"
"TRSE"|"Trachypogon secundus"|"onesided crinkleawn"|7||"23397160"|"96941209"
"2GA"||"other annual grasses"|10||"23397123"|"96941179"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"23397123"|"96941180"
"ANGE"|"Andropogon gerardii"|"big bluestem"|10||"23397123"|"96941181"
"AXFI"|"Axonopus fissifolius"|"common carpetgrass"|10||"23397123"|"96941182"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"23397123"|"96941183"
"PAVI2"|"Panicum virgatum"|"switchgrass"|10||"23397123"|"96941184"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|5||"23397123"|"96941185"
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|2||"23397131"|"96941186"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"23397131"|"96941187"
"MUCAF"|"Muhlenbergia capillaris var. filipes"|"gulfhairawn muhly"|3||"23397131"|"96941188"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|10||"23397131"|"96941189"
"ELTR4"|"Elionurus tripsacoides"|"Pan American balsamscale"|3||"23397131"|"96941190"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"23397131"|"96941191"
"2GLP"||"other  perennial  grasslikes"|5||"23397131"|"96941192"
"2TREE"||"other trees"|15||"23397131"|"96941193"
"TRSE"|"Trachypogon secundus"|"onesided crinkleawn"|7||"23397131"|"96941194"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"23397119"|"96941170"
"MUCAF"|"Muhlenbergia capillaris var. filipes"|"gulfhairawn muhly"|3||"23397119"|"96941171"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|10||"23397119"|"96941172"
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|2||"23397119"|"96941173"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"23397119"|"96941174"
"ELTR4"|"Elionurus tripsacoides"|"Pan American balsamscale"|3||"23397119"|"96941175"
"2TREE"||"other trees"|15||"23397119"|"96941176"
"2GLP"||"other  perennial  grasslikes"|5||"23397119"|"96941177"
"TRSE"|"Trachypogon secundus"|"onesided crinkleawn"|7||"23397119"|"96941178"
"IVA"|"Iva"|"marshelder"|||"23397207"|"96941228"
"CRATA"|"Crataegus"|"hawthorn"|||"23397207"|"96941229"
"SMILA2"|"Smilax"|"greenbrier"|||"23397207"|"96941230"
"TORA2"|"Toxicodendron radicans"|"eastern poison ivy"|||"23397207"|"96941231"
"VITIS"|"Vitis"|"grape"|||"23397207"|"96941232"
"AMAR5"|"Ampelopsis arborea"|"peppervine"|||"23397207"|"96941233"
"FOAC"|"Forestiera acuminata"|"eastern swampprivet"|||"23397207"|"96941234"
"POPE2"|"Polygonum pensylvanicum"|"Pennsylvania smartweed"|||"23397208"|"96941235"
"ARUND2"|"Arundinaria"|"cane"|||"23397208"|"96941236"
"CAREX"|"Carex"|"sedge"|||"23397208"|"96941237"
"CECA4"|"Cercis canadensis"|"eastern redbud"|||"23397208"|"96941238"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"23397208"|"96941239"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|||"23397208"|"96941240"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|10||"23397166"|"96941210"
"MUCAF"|"Muhlenbergia capillaris var. filipes"|"gulfhairawn muhly"|3||"23397166"|"96941211"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"23397166"|"96941212"
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|2||"23397166"|"96941213"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"23397166"|"96941214"
"ELTR4"|"Elionurus tripsacoides"|"Pan American balsamscale"|3||"23397166"|"96941215"
"2TREE"||"other trees"|15||"23397166"|"96941216"
"2GLP"||"other  perennial  grasslikes"|5||"23397166"|"96941217"
"TRSE"|"Trachypogon secundus"|"onesided crinkleawn"|7||"23397166"|"96941218"
"SONU2"|"Sorghastrum nutans"|"yellow Indiangrass"|10||"23397197"|"96941219"
"MUCAF"|"Muhlenbergia capillaris var. filipes"|"gulfhairawn muhly"|3||"23397197"|"96941220"
"SCSC"|"Schizachyrium scoparium"|"little bluestem"|50||"23397197"|"96941221"
"ANTE2"|"Andropogon ternarius"|"splitbeard bluestem"|2||"23397197"|"96941222"
"PAPL3"|"Paspalum plicatulum"|"brownseed paspalum"|5||"23397197"|"96941223"
"ELTR4"|"Elionurus tripsacoides"|"Pan American balsamscale"|3||"23397197"|"96941224"
"2TREE"||"other trees"|15||"23397197"|"96941225"
"2GLP"||"other  perennial  grasslikes"|5||"23397197"|"96941226"
"TRSE"|"Trachypogon secundus"|"onesided crinkleawn"|7||"23397197"|"96941227"
"POPE2"|"Polygonum pensylvanicum"|"Pennsylvania smartweed"|||"23397143"|"96941195"
"CECA4"|"Cercis canadensis"|"eastern redbud"|||"23397143"|"96941196"
"CAREX"|"Carex"|"sedge"|||"23397143"|"96941197"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"23397143"|"96941198"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|||"23397143"|"96941199"
"ARUND2"|"Arundinaria"|"cane"|||"23397143"|"96941200"
