"Very gravelly"|"142473676"|"41895280"
"Gravelly"|"142473457"|"41895281"
"Very gravelly"|"142473562"|"41895275"
"Gravelly"|"142473458"|"41895278"
"Gravelly"|"142473477"|"41895276"
"Very gravelly"|"142473663"|"41895287"
"Gravelly"|"142473662"|"41895274"
"Very gravelly"|"142473661"|"41895282"
"Very gravelly"|"142473455"|"41895283"
"Very gravelly"|"142473459"|"41895288"
"Gravelly"|"142473456"|"41895277"
"Very gravelly"|"142473563"|"41895285"
"Gravelly"|"142473564"|"41895286"
"Very gravelly"|"142473476"|"41895289"
"Very gravelly"|"142473660"|"41895284"
"Very gravelly"|"142473561"|"41895279"
