"Fine sandy loam"||"136601022"|"138942927"
"Fine sandy loam"||"136601023"|"138942928"
"Sandy loam"||"136601024"|"138942929"
"Loamy fine sand"||"136601025"|"138942930"
"Sandy loam"||"136601026"|"138942591"
"Loam"||"136601027"|"138942771"
"Silt loam"||"136601028"|"138942592"
"Sandy clay loam"||"136601029"|"138942772"
"Very fine sandy loam"||"136601030"|"138943081"
"Sand"||"136601030"|"138943082"
"Clay loam"||"136601031"|"138942459"
"Sandy clay loam"||"136601032"|"138942628"
"Loam"||"136601033"|"138942460"
"Fine sandy loam"||"136601034"|"138942638"
"Sandy loam"||"136601035"|"138942467"
"Loamy sand"||"136601036"|"138942639"
"Fine sandy loam"||"136601037"|"138942797"
"Loam"||"136601038"|"138942637"
"Sandy loam"||"136601039"|"138942973"
"Fine sandy loam"||"136601040"|"138942974"
"Sandy loam"||"136601041"|"138943192"
"Loamy sand"||"136601041"|"138943193"
"Sandy loam"||"136601042"|"138942629"
"Coarse sand"||"136601042"|"138942630"
"Sandy clay loam"||"136601043"|"138942939"
"Loam"||"136601044"|"138942598"
"Clay loam"||"136601045"|"138942779"
"Sandy loam"||"136601046"|"138942599"
"Loam"||"136601047"|"138942780"
"Sandy clay loam"||"136601048"|"138942600"
"Sandy loam"||"136601049"|"138943089"
"Clay loam"||"136601050"|"138943090"
"Loam"||"136601051"|"138943091"
"Clay loam"||"136601052"|"138943092"
"Sandy clay loam"||"136601053"|"138942601"
"Clay loam"||"136601054"|"138942781"
"Loam"||"136601055"|"138942602"
"Loam"||"136601056"|"138943087"
"Sandy loam"||"136601057"|"138943088"
"Sandy clay loam"||"136601058"|"138942777"
"Loam"||"136601059"|"138942596"
"Sandy clay loam"||"136601060"|"138942778"
"Sandy loam"||"136601061"|"138942597"
"Loam"||"136601062"|"138942935"
"Clay loam"||"136601063"|"138942936"
"Coarse sand"||"136601064"|"138942937"
"Clay"||"136601064"|"138942938"
"Fine sandy loam"||"136601065"|"138942485"
"Fine sandy loam"||"136601066"|"138942662"
"Sandy loam"||"136601067"|"138942486"
"Loamy fine sand"||"136601068"|"138942663"
"Sandy loam"||"136601069"|"138942678"
"Loam"||"136601070"|"138942993"
