"Ochric epipedon"|0|0|0|25|46|55||46||"23051556"|"13312314"
"Argillic horizon"|25|46|55|200|200|200||154||"23051556"|"13312315"
"Lithic contact"|59|69|101|||||||"23051557"|"13312316"
"Ochric epipedon"|0|0|0|5|20|40||20||"23051557"|"13312317"
"Argillic horizon"|5|20|40|59|69|101||49||"23051557"|"13312318"
"Lithic contact"|0|0|0|||||||"23051558"|"13312319"
"Abrupt textural change"|30|33|35|||||||"23051559"|"13312322"
"Aquic conditions"|0|15|30|200|200|200||185||"23051559"|"13312324"
"Ochric epipedon"|0|0|0|30|33|35|30|33|35|"23051559"|"13312320"
"Albic horizon"|10|18|23|30|33|35||15||"23051559"|"13312323"
"Argillic horizon"|30|33|35|200|200|200|165|167|170|"23051559"|"13312321"
"Aquic conditions"|10|30|51|200|200|200||170||"23051560"|"13312327"
"Mollic epipedon"|0|0|0|20|36|40|23|36|76|"23051560"|"13312325"
"Argillic horizon"|20|36|40|200|200|200|124|164|177|"23051560"|"13312326"
"Aquic conditions"|0|15|25|200|200|200||185||"23051561"|"13312330"
"Ochric epipedon"|0|0|0|60|66|70|60|66|70|"23051561"|"13312328"
"Argillic horizon"|60|66|70|200|200|200|130|134|140|"23051561"|"13312329"
"Ochric epipedon"|0|0|0|30|33|51|30|33|51|"23051562"|"13312331"
"Argillic horizon"|30|33|51|200|200|200|149|167|170|"23051562"|"13312332"
"Redox depletions with chroma 2 or less"|30|33|51|200|200|200|149|167|170|"23051562"|"13312333"
"Ochric epipedon"|0|0|0|10|25|28|10|25|28|"23051563"|"13312334"
"Argillic horizon"|10|25|28|58|91|122|30|66|92|"23051563"|"13312335"
"Lithic contact"|51|79|99|||||||"23051564"|"13312338"
"Ochric epipedon"|1|2|5|8|13|20|3|11|19|"23051564"|"13312336"
"Argillic horizon"|8|13|20|51|79|99|31|66|91|"23051564"|"13312337"
"Ochric epipedon"|0|0|0|18|23|30||23||"23051565"|"13312340"
