"SC-SM"|No |"68225817"|"126902611"
"CL"|Yes|"68225817"|"126902612"
"CL"|Yes|"68226036"|"126903029"
"SM"|No |"68226036"|"126903030"
"GW-GM"|No |"68226231"|"126903409"
"GC"|Yes|"68226231"|"126903410"
"SC"|No |"68226231"|"126903408"
"CH"|Yes|"68226702"|"126904350"
"CL"|Yes|"68226749"|"126904440"
"SC"|No |"68226749"|"126904439"
"SC-SM"|No |"68225863"|"126902705"
"CL"|Yes|"68225863"|"126902704"
"CL-ML"|Yes|"68226760"|"126904463"
"ML"|No |"68226760"|"126904462"
"CL"|Yes|"68226632"|"126904220"
"SC"|No |"68226632"|"126904219"
"CL"|Yes|"68226317"|"126903582"
"GC"|No |"68226317"|"126903581"
"GM"|Yes|"68225837"|"126902650"
"CL"|Yes|"68226577"|"126904097"
"ML"|No |"68226577"|"126904096"
"SM"|No |"68226577"|"126904098"
"GC-GM"|Yes|"68226623"|"126904197"
"GM"|No |"68226623"|"126904198"
"SC"|No |"68226623"|"126904199"
"GC-GM"|Yes|"68225587"|"126902134"
"GC"|No |"68225587"|"126902135"
"SM"|No |"68225587"|"126902133"
"CL-ML"|No |"68226194"|"126903338"
"CL"|Yes|"68226194"|"126903337"
"CL-ML"|No |"68226934"|"126904815"
"CL"|Yes|"68226934"|"126904814"
"CL"|Yes|"68225734"|"126902411"
"SC"|No |"68225734"|"126902410"
"MH"|Yes|"68225932"|"126902826"
"OH"|No |"68225932"|"126902827"
"CL"|No |"68226220"|"126903388"
"GC"|Yes|"68226220"|"126903389"
"GC-GM"|Yes|"68226908"|"126904763"
"CL"|No |"68226908"|"126904761"
"GM"|No |"68226908"|"126904762"
"SC-SM"|No |"68225618"|"126902193"
"SP-SM"|No |"68225618"|"126902194"
"SM"|Yes|"68225618"|"126902195"
"GP-GC"|No |"68225921"|"126902808"
"CH"|Yes|"68225921"|"126902807"
"GC-GM"|Yes|"68226306"|"126903561"
"CL"|No |"68226306"|"126903559"
"GM"|No |"68226306"|"126903560"
"GW-GM"|No |"68226401"|"126903746"
"GC"|Yes|"68226401"|"126903744"
"SC"|No |"68226401"|"126903745"
"GC-GM"|Yes|"68225515"|"126902004"
"GM"|No |"68225515"|"126902003"
"SM"|No |"68225515"|"126902002"
"CL-ML"|No |"68225988"|"126902934"
"CL"|Yes|"68225988"|"126902935"
"GC-GM"|Yes|"68225910"|"126902785"
"GC"|No |"68225910"|"126902786"
"SM"|No |"68225910"|"126902787"
"CH"|No |"68226061"|"126903083"
"SC"|Yes|"68226061"|"126903084"
"SC"|Yes|"68225684"|"126902326"
"GC-GM"|No |"68226198"|"126903346"
"GC"|Yes|"68226198"|"126903345"
"CH"|Yes|"68226359"|"126903659"
"SP-SC"|No |"68227037"|"126905031"
"SC"|Yes|"68227037"|"126905030"
"CH"|No |"68226496"|"126903926"
"CL"|Yes|"68226496"|"126903927"
"CL-ML"|No |"68225660"|"126902287"
"CL"|Yes|"68225660"|"126902286"
"PT"|Yes|"68225514"|"126902001"
"CL-ML"|No |"68226697"|"126904341"
"CL"|Yes|"68226697"|"126904340"
"CH"|Yes|"68226069"|"126903098"
"CL-ML"|No |"68226599"|"126904148"
"CL"|Yes|"68226599"|"126904147"
"SP-SM"|Yes|"68225747"|"126902443"
"SM"|No |"68225747"|"126902444"
"CH"|No |"68226098"|"126903156"
"GC"|No |"68226098"|"126903157"
"SC"|Yes|"68226098"|"126903158"
"CH"|Yes|"68226536"|"126903998"
"GC"|No |"68226536"|"126903999"
"SM"|Yes|"68226723"|"126904390"
"GM"|No |"68225598"|"126902154"
"OL"|No |"68225598"|"126902155"
"SM"|Yes|"68225598"|"126902156"
"GP-GM"|No |"68226380"|"126903696"
"GW-GC"|Yes|"68226380"|"126903697"
"SC"|No |"68226380"|"126903695"
"GC"|Yes|"68226901"|"126904748"
"SM"|No |"68226901"|"126904747"
"CL"|Yes|"68225884"|"126902736"
"SC"|No |"68225884"|"126902735"
"SC-SM"|No |"68225758"|"126902468"
"SP-SM"|Yes|"68225758"|"126902469"
"SC-SM"|Yes|"68226275"|"126903493"
"GM"|No |"68226275"|"126903492"
"CL"|Yes|"68225873"|"126902720"
"GC-GM"|Yes|"68226682"|"126904314"
"ML"|No |"68226682"|"126904315"
"CL-ML"|No |"68227048"|"126905054"
"ML"|Yes|"68227048"|"126905055"
"CL"|No |"68225819"|"126902615"
"SC"|Yes|"68225819"|"126902616"
"CH"|Yes|"68226864"|"126904672"
"GC"|No |"68226864"|"126904673"
"CH"|No |"68225673"|"126902307"
"GC"|Yes|"68225673"|"126902306"
"GC"|Yes|"68226161"|"126903271"
"CL-ML"|No |"68226253"|"126903452"
"CL"|Yes|"68226253"|"126903451"
"GM"|No |"68226348"|"126903640"
"OL"|No |"68226348"|"126903638"
"SM"|Yes|"68226348"|"126903639"
"GP-GM"|No |"68226391"|"126903721"
"GW-GC"|Yes|"68226391"|"126903723"
"SC"|No |"68226391"|"126903722"
"CL-ML"|No |"68226463"|"126903867"
"CL"|Yes|"68226463"|"126903866"
"CH"|Yes|"68226494"|"126903922"
"CL"|No |"68226494"|"126903923"
"SC-SM"|No |"68225503"|"126901977"
"SC"|Yes|"68225503"|"126901978"
"GC-GM"|Yes|"68226621"|"126904192"
"GM"|No |"68226621"|"126904194"
"SM"|No |"68226621"|"126904193"
"CL"|No |"68226464"|"126903870"
"GC"|Yes|"68226464"|"126903869"
"GM"|No |"68226464"|"126903868"
"CL-ML"|No |"68226368"|"126903670"
"CL"|Yes|"68226368"|"126903671"
"CL"|Yes|"68225874"|"126902721"
"CL-ML"|Yes|"68226172"|"126903295"
"CL"|No |"68226172"|"126903294"
"ML"|No |"68226172"|"126903296"
"CL-ML"|No |"68226885"|"126904711"
"CL"|Yes|"68226885"|"126904712"
"CL"|No |"68225649"|"126902263"
"SC"|Yes|"68225649"|"126902264"
"GC-GM"|No |"68227096"|"126905155"
"GC"|Yes|"68227096"|"126905156"
