"Ochric epipedon"|0|0|0|14|33|53|14|33|53|"22245265"|"12593674"
"Argillic horizon"|14|33|53|203|203|203|150|170|189|"22245265"|"12593675"
"Cambic horizon"|13|14|18|203|203|203|185|189|190|"22244875"|"12593340"
"Ochric epipedon"|0|0|0|13|14|18|13|14|18|"22244875"|"12593339"
"Slickensides"|13|14|18|203|203|203|185|189|190|"22244875"|"12593341"
"Cambic horizon"|13|14|18|203|203|203|185|189|190|"22244544"|"12592874"
"Ochric epipedon"|0|0|0|13|14|18|13|14|18|"22244544"|"12592872"
"Slickensides"|13|14|18|203|203|203|185|189|190|"22244544"|"12592873"
"Cambic horizon"||31|||76|||45||"22244825"|"12593280"
"Ochric epipedon"||0|||31|||31||"22244825"|"12593279"
"Secondary carbonates"|94|127|172|203|203|203|31|76|109|"22244848"|"12593299"
"Ochric epipedon"|0|0|0|10|23|25|10|23|25|"22244848"|"12593297"
"Argillic horizon"|10|23|25|203|203|203|178|180|193|"22244848"|"12593298"
"Secondary carbonates"|94|107|172|203|203|203|31|96|109|"22244534"|"12592866"
"Ochric epipedon"|0|0|0|10|18|25|10|18|25|"22244534"|"12592864"
"Argillic horizon"|10|18|25|203|203|203|178|185|193|"22244534"|"12592865"
"Aquic conditions"|0|0|0|26|51|61|26|51|61|"22244984"|"12593466"
"Ochric epipedon"|0|0|0|26|51|61|26|51|61|"22244984"|"12593465"
"Argillic horizon"|26|51|61|203|203|203|142|152|177|"22244984"|"12593467"
"Secondary carbonates"|94|109|172|203|203|203|31|94|109|"22244985"|"12593470"
"Ochric epipedon"|0|0|0|10|20|25|10|20|25|"22244985"|"12593468"
"Argillic horizon"|10|20|25|203|203|203|178|183|193|"22244985"|"12593469"
"Aquic conditions"|10|10|38|203|203|203|165|193|193|"22244852"|"12593301"
"Ochric epipedon"|0|0|0|10|10|38|10|10|38|"22244852"|"12593300"
"Cambic horizon"|15|41|46|203|203|203|157|162|188|"22244856"|"12593302"
"Slickensides"|91|97|112|203|203|203|91|106|112|"22244856"|"12593303"
"Redox concentrations"|91|97|112|203|203|203|91|106|112|"22244856"|"12593304"
"Redox depletions with chroma 2 or less"|122|175|191|203|203|203|12|28|81|"22244856"|"12593305"
"Ochric epipedon"|0|0|0|10|15|48|10|15|48|"22245182"|"12593623"
"Aquic conditions"|0|0|0|203|203|203|203|203|203|"22244634"|"12593001"
"Mollic epipedon"|0|0|0|12|36|54|12|36|54|"22244988"|"12593471"
"Anthropic epipedon"||0|||74|||74||"22245015"|"12593487"
"Anthropic epipedon"||0|||13|||13||"22245016"|"12593488"
"Ochric epipedon"|0|0|0|86|178|178|86|178|178|"22245079"|"12593527"
"Argillic horizon"|86|178|178|203|203|203|25|25|117|"22245079"|"12593528"
"Secondary carbonates"|35|135|163|203|203|203|40|68|168|"22244844"|"12593295"
"Mollic epipedon"|0|0|0|35|135|163|35|135|163|"22244844"|"12593294"
"Slickensides"|15|29|117|203|203|203|86|174|188|"22244844"|"12593296"
"Secondary carbonates"|46|149|149|203|203|203|54|54|157|"22244971"|"12593452"
"Mollic epipedon"|0|0|0|110|166|166|110|166|166|"22244971"|"12593451"
"Slickensides"|8|9|64|203|203|203|139|194|195|"22244971"|"12593450"
"Secondary carbonates"|35|91|163|203|203|203|40|112|168|"22245270"|"12593678"
"Mollic epipedon"|0|0|0|35|91|163|35|91|163|"22245270"|"12593677"
"Slickensides"|8|56|117|203|203|203|86|147|195|"22245270"|"12593676"
"Secondary carbonates"|0|0|0|203|203|203|203|203|203|"22244993"|"12593472"
"Mollic epipedon"|0|0|0|12|42|54|12|42|54|"22244993"|"12593473"
"Ochric epipedon"|0|0|0|8|15|36|8|15|36|"22245011"|"12593481"
"Endosaturation"|20|40|46|203|203|203|157|163|183|"22245011"|"12593482"
"Ochric epipedon"|0|0|0|10|23|28|10|23|28|"22245012"|"12593483"
"Endosaturation"|62|126|141|203|203|203|62|77|141|"22245012"|"12593484"
