"g"|"65748793"|"27303630"
"g"|"65748476"|"27302781"
"ss"|"65748476"|"27302780"
"t"|"65748516"|"27303401"
"g"|"65748579"|"27302915"
"ss"|"65748498"|"27302600"
"ss"|"65748480"|"27302785"
"ss"|"65748553"|"27303181"
"k"|"65748590"|"27303372"
"ss"|"65748590"|"27303371"
"b"|"65748475"|"27303095"
"k"|"65748505"|"27302586"
"t"|"65748505"|"27302585"
"k"|"65748509"|"27303340"
"g"|"65748483"|"27302520"
"w"|"65748568"|"27303386"
"b"|"65748564"|"27303381"
"g"|"65748794"|"27303624"
"k"|"65748512"|"27303335"
"k"|"65748575"|"27303123"
"ss"|"65748575"|"27303122"
"b"|"65748472"|"27303093"
"t"|"65748825"|"27303581"
"p"|"65748491"|"27303342"
"g"|"65748597"|"27303395"
"k"|"65748816"|"27303421"
"k"|"65748814"|"27303419"
"k"|"65748523"|"27302590"
"t"|"65748523"|"27302589"
"g"|"65748803"|"27303520"
"p"|"65748560"|"27303377"
"p"|"65748513"|"27303336"
"g"|"65748792"|"27303629"
"k"|"65748501"|"27303115"
"t"|"65748501"|"27303114"
|"65748812"|"27303417"
"k"|"65748589"|"27303370"
"ss"|"65748589"|"27303369"
"b"|"65748569"|"27303387"
"w"|"65748569"|"27303388"
"g"|"65748576"|"27303391"
"g"|"65748482"|"27302519"
"g"|"65748795"|"27303625"
"k"|"65748493"|"27303345"
"t"|"65748493"|"27303344"
"p"|"65748517"|"27302591"
"g"|"65748578"|"27303393"
"b"|"65748565"|"27303382"
"w"|"65748565"|"27303383"
"w"|"65748567"|"27303385"
"ss"|"65748556"|"27303184"
"g"|"65748806"|"27303521"
"g"|"65748650"|"27302890"
"ss"|"65748495"|"27302597"
"k"|"65748611"|"27303111"
"ss"|"65748611"|"27303110"
"t"|"65748619"|"27303327"
"k"|"65748494"|"27303346"
"t"|"65748494"|"27303347"
"b"|"65748813"|"27303418"
"ss"|"65748588"|"27303368"
"t"|"65748504"|"27302584"
"k"|"65748471"|"27303312"
"ss"|"65748471"|"27303311"
"g"|"65748620"|"27303329"
"t"|"65748620"|"27303328"
"w"|"65748514"|"27303337"
"g"|"65748791"|"27303628"
"ss"|"65748609"|"27303107"
"g"|"65748828"|"27303586"
"t"|"65748828"|"27303585"
|"65748651"|"27302891"
"g"|"65748641"|"27303355"
"k"|"65748830"|"27303589"
"ss"|"65748830"|"27303588"
"g"|"65748636"|"27302888"
"t"|"65748503"|"27302583"
"w"|"65748511"|"27303334"
"g"|"65748640"|"27303354"
"t"|"65748522"|"27302588"
"k"|"65748808"|"27303413"
"t"|"65748492"|"27303343"
"t"|"65748614"|"27303331"
"p"|"65748566"|"27303384"
"g"|"65748658"|"27303357"
"t"|"65748518"|"27302592"
"k"|"65748470"|"27303310"
"ss"|"65748470"|"27303309"
"k"|"65748496"|"27302599"
"ss"|"65748496"|"27302598"
"g"|"65748577"|"27303392"
"p"|"65748507"|"27303338"
"ss"|"65748829"|"27303587"
"k"|"65748610"|"27303109"
"ss"|"65748610"|"27303108"
"g"|"65748581"|"27302917"
"t"|"65748618"|"27303326"
"g"|"65748606"|"27303398"
"g"|"65748799"|"27303631"
"g"|"65748655"|"27303358"
"g"|"65748580"|"27302916"
"g"|"65748607"|"27303399"
"ss"|"65748607"|"27303400"
|"65748481"|"27302786"
"g"|"65748644"|"27303356"
"g"|"65748595"|"27303194"
"k"|"65748595"|"27303193"
"n"|"65748595"|"27303192"
"t"|"65748595"|"27303191"
"b"|"65748570"|"27303389"
"g"|"65748596"|"27303394"
|"65748827"|"27303584"
"w"|"65748474"|"27303094"
"k"|"65748831"|"27303591"
"ss"|"65748831"|"27303590"
"b"|"65748810"|"27303415"
"k"|"65748810"|"27303414"
"g"|"65748800"|"27303632"
"g"|"65748477"|"27302782"
"g"|"65748478"|"27302784"
"ss"|"65748478"|"27302783"
|"65748563"|"27303380"
"k"|"65748615"|"27303333"
"t"|"65748615"|"27303332"
"g"|"65748582"|"27303116"
"ss"|"65748574"|"27303121"
|"65748571"|"27303390"
"g"|"65748790"|"27303627"
"g"|"65748637"|"27302889"
"t"|"65748521"|"27302587"
"t"|"65748613"|"27303330"
"k"|"65748811"|"27303416"
"k"|"65748554"|"27303183"
"ss"|"65748554"|"27303182"
"k"|"65748519"|"27302594"
"t"|"65748519"|"27302593"
"g"|"65748796"|"27303626"
"w"|"65748508"|"27303339"
"t"|"65748499"|"27303112"
"k"|"65748520"|"27302595"
"t"|"65748520"|"27302596"
"n"|"65748594"|"27303190"
"t"|"65748594"|"27303189"
"w"|"65748510"|"27303341"
"w"|"65748562"|"27303379"
"g"|"65748826"|"27303583"
"t"|"65748826"|"27303582"
"g"|"65748583"|"27303117"
"k"|"65748815"|"27303420"
"w"|"65748561"|"27303378"
"g"|"65748584"|"27303118"
"k"|"65748572"|"27303120"
"ss"|"65748572"|"27303119"
"g"|"65748604"|"27303396"
"ss"|"65748604"|"27303397"
"t"|"65748500"|"27303113"
"n"|"65748593"|"27303187"
"t"|"65748593"|"27303188"
"ss"|"65748469"|"27303308"
