"Clay loam"||"132631351"|"134902089"
"Loam"||"132633245"|"134901777"
"Sandy clay loam"||"132632536"|"134901878"
"Clay loam"||"132631343"|"134902135"
"Clay loam"||"132632411"|"134901994"
"Clay loam"||"132631672"|"134900170"
"Silt loam"||"132631650"|"134900461"
"Sandy clay"||"132631914"|"134900436"
"Loam"||"132632948"|"134900527"
"Clay"||"132632171"|"134899943"
"Clay"||"132632208"|"134900451"
"Fine sand"||"132632755"|"134901154"
"Fine sandy loam"||"132631417"|"134899708"
"Sandy clay loam"||"132631903"|"134899703"
"Sandy clay loam"||"132632369"|"134901251"
"Sandy clay loam"||"132632390"|"134902127"
"Sandy clay loam"||"132633180"|"134902027"
"Sandy clay loam"||"132633169"|"134901816"
"Clay loam"||"132632363"|"134902117"
"Fine sandy loam"||"132633011"|"134901394"
"Silt loam"||"132633266"|"134900523"
"Sandy clay loam"||"132632380"|"134902131"
"Sandy clay loam"||"132633412"|"134902156"
"Sandy clay"||"132631332"|"134902091"
"Clay"||"132633255"|"134901779"
"Clay"||"132631894"|"134900147"
"Clay loam"||"132633007"|"134901661"
"Clay"||"132633018"|"134901249"
"Clay loam"||"132631890"|"134900143"
"Clay loam"||"132631340"|"134902180"
"Clay"||"132631881"|"134901674"
"Sandy clay"||"132632234"|"134900463"
"Loam"||"132631901"|"134900158"
"Sandy clay loam"||"132633392"|"134900767"
"Sandy clay loam"||"132631347"|"134901877"
"Fine sandy loam"||"132633402"|"134900441"
"Sandy clay loam"||"132633173"|"134901817"
"Silty clay"||"132633256"|"134901780"
"Very fine sandy loam"||"132632970"|"134900650"
"Clay loam"||"132633318"|"134901400"
"Clay"||"132631883"|"134901675"
"Silty clay"||"132633165"|"134900628"
"Sandy clay loam"||"132631912"|"134902111"
"Silty clay loam"||"132631785"|"134901935"
"Silt loam"||"132632245"|"134899987"
"Sandy clay loam"||"132633006"|"134901396"
"Silt loam"||"132632959"|"134900905"
"Loam"||"132632537"|"134901809"
"Sandy clay"||"132633720"|"134901006"
"Fine sandy loam"||"132632223"|"134902121"
"Fine sand"||"132631421"|"134900013"
"Fine sandy loam"||"132631336"|"134901874"
"Clay loam"||"132633413"|"134902157"
"Clay loam"||"132632370"|"134901252"
"Silty clay loam"||"132631651"|"134900460"
"Silt loam"||"132633246"|"134900386"
"Sandy clay loam"||"132633319"|"134901665"
"Loam"||"132631328"|"134901880"
"Sandy clay"||"132632381"|"134901867"
"Sandy clay loam"||"132632410"|"134901516"
"Clay"||"132631339"|"134902181"
"Clay loam"||"132632220"|"134902066"
"Loam"||"132631641"|"134902070"
"Clay loam"||"132632922"|"134900433"
"Clay loam"||"132633017"|"134901386"
"Clay"||"132633275"|"134900779"
"Clay loam"||"132632024"|"134899713"
