"CH"|Yes|"65816312"|"122705800"
"CL"|Yes|"65816175"|"122705523"
"CH"|Yes|"65816162"|"122705505"
"CL"|Yes|"65816333"|"122705835"
"SC"|No |"65816333"|"122705836"
"CL"|Yes|"65816048"|"122705289"
"CL"|Yes|"65816644"|"122706474"
"SC"|Yes|"65816681"|"122706537"
"CH"|Yes|"65816311"|"122705798"
"CL"|No |"65816311"|"122705799"
"CL"|Yes|"65816839"|"122706835"
"SC"|No |"65816839"|"122706834"
"CL"|No |"65816227"|"122705633"
"SC"|No |"65816227"|"122705634"
"CL"|Yes|"65816343"|"122705853"
"SC"|No |"65816343"|"122705854"
"CL"|Yes|"65816332"|"122705834"
"CH"|Yes|"65816166"|"122705511"
"CH"|No |"65816780"|"122706728"
"CL"|Yes|"65816780"|"122706729"
"SC-SM"|Yes|"65816397"|"122705956"
"SM"|No |"65816397"|"122705955"
"CL-ML"|No |"65816835"|"122706823"
"SC-SM"|Yes|"65816835"|"122706824"
"SM"|No |"65816835"|"122706825"
"CH"|No |"65816665"|"122706506"
"CL"|Yes|"65816665"|"122706507"
"CH"|No |"65816118"|"122705412"
"CL"|Yes|"65816118"|"122705411"
"CH"|Yes|"65816158"|"122705501"
"SC-SM"|No |"65816228"|"122705636"
"SC"|No |"65816228"|"122705635"
"CH"|Yes|"65816824"|"122706806"
"CL"|Yes|"65816666"|"122706508"
"CL"|Yes|"65815900"|"122705005"
"CH"|Yes|"65816743"|"122706653"
"CH"|Yes|"65816047"|"122705288"
"CL"|No |"65816047"|"122705287"
"CH"|No |"65816643"|"122706473"
"CL"|Yes|"65816643"|"122706472"
"CH"|No |"65816395"|"122705951"
"CL"|Yes|"65816395"|"122705952"
"SC"|No |"65816395"|"122705950"
"SC-SM"|No |"65816838"|"122706832"
"CL"|No |"65816838"|"122706831"
"SC"|Yes|"65816838"|"122706833"
"SC"|Yes|"65816680"|"122706536"
"CL"|Yes|"65816176"|"122705524"
"ML"|No |"65816176"|"122705525"
"SP-SM"|No |"65815926"|"122705066"
"SM"|No |"65815926"|"122705064"
"SP"|No |"65815926"|"122705065"
"CH"|No |"65816416"|"122705992"
"CL"|Yes|"65816416"|"122705991"
"SP-SM"|No |"65816226"|"122705632"
"SM"|No |"65816226"|"122705631"
"CH"|Yes|"65816828"|"122706811"
"CL"|No |"65816828"|"122706812"
"SC-SM"|Yes|"65816802"|"122706769"
"SC"|No |"65816802"|"122706768"
"SM"|No |"65816802"|"122706767"
"CL"|Yes|"65816342"|"122705851"
"ML"|No |"65816342"|"122705852"
"CL"|Yes|"65816669"|"122706512"
"CL"|Yes|"65816776"|"122706724"
"ML"|No |"65816776"|"122706723"
"CL-ML"|No |"65816405"|"122705972"
"SC-SM"|Yes|"65816405"|"122705971"
"CL"|Yes|"65816344"|"122705855"
"CH"|Yes|"65816489"|"122706124"
"CL"|No |"65816489"|"122706125"
"CL"|Yes|"65816787"|"122706740"
"CH"|No |"65816331"|"122705833"
"CL"|Yes|"65816331"|"122705832"
"CL"|Yes|"65815893"|"122704989"
"SC"|No |"65815893"|"122704990"
"CH"|Yes|"65816832"|"122706819"
"CL"|Yes|"65815930"|"122705074"
"CH"|No |"65816647"|"122706479"
"CL"|Yes|"65816647"|"122706480"
"CL"|Yes|"65816406"|"122705973"
"CL"|Yes|"65816174"|"122705521"
"SC"|No |"65816174"|"122705522"
"SC"|Yes|"65816684"|"122706541"
"CH"|Yes|"65816198"|"122705573"
"CL"|Yes|"65816843"|"122706842"
"SC"|No |"65816843"|"122706841"
"SC-SM"|Yes|"65816407"|"122705974"
"CL"|No |"65816407"|"122705975"
"CL"|Yes|"65816345"|"122705856"
"CL"|Yes|"65816415"|"122705990"
"CL"|Yes|"65816783"|"122706734"
"CL"|Yes|"65816784"|"122706735"
"CL"|Yes|"65816668"|"122706511"
"CL"|Yes|"65816045"|"122705284"
"CL"|Yes|"65816834"|"122706822"
"CH"|No |"65816115"|"122705407"
"CL"|Yes|"65816115"|"122705406"
"CH"|Yes|"65816161"|"122705504"
"CL"|Yes|"65816334"|"122705837"
"SC-SM"|Yes|"65816396"|"122705953"
"SM"|No |"65816396"|"122705954"
"CL"|Yes|"65816845"|"122706844"
"ML"|No |"65816845"|"122706845"
"SC-SM"|No |"65815896"|"122704998"
"SM"|Yes|"65815896"|"122704997"
"CH"|No |"65816056"|"122705307"
"CL"|No |"65816056"|"122705308"
"CH"|No |"65815928"|"122705070"
"CL"|No |"65815928"|"122705071"
"CH"|No |"65815929"|"122705072"
"CL"|No |"65815929"|"122705073"
