|7||"PINI"|"Pinus nigra"|"Austrian pine"|"22273601"|"116195837"
|7.9||"ROPS"|"Robinia pseudoacacia"|"black locust"|"22273601"|"116195838"
|7.9||"ULPA"|"Ulmus parvifolia"|"Chinese elm"|"22273601"|"116195839"
|6.1||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"22273601"|"116195840"
|3||"PRAM"|"Prunus americana"|"American plum"|"22273601"|"116195841"
|7||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"22273601"|"116195842"
|7||"PIPO"|"Pinus ponderosa"|"ponderosa pine"|"22273601"|"116195843"
|6.7||"CEOC"|"Celtis occidentalis"|"common hackberry"|"22273601"|"116195844"
|6.1||"THOR"|"Thuja orientalis"|"no national vernacular name available"|"22273601"|"116195845"
|6.7||"MAPO"|"Maclura pomifera"|"bois d'arc"|"22273601"|"116195846"
|6.7||"ELAN"|"Elaeagnus angustifolia"|"Russian olive"|"22273601"|"116195847"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"22273601"|"116195848"
|10.4||"ROPS"|"Robinia pseudoacacia"|"black locust"|"22273287"|"116195766"
|4.3||"CECA4"|"Cercis canadensis"|"eastern redbud"|"22273287"|"116195767"
|6.7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"22273287"|"116195768"
|18.3||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"22273287"|"116195769"
|8.5||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"22273287"|"116195770"
|7.3||"MORU2"|"Morus rubra"|"mulberry"|"22273287"|"116195771"
|7.9||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"22273287"|"116195772"
|10.7||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"22273287"|"116195773"
|9.1||"CEOC"|"Celtis occidentalis"|"common hackberry"|"22273287"|"116195774"
|3.7||"PRAM"|"Prunus americana"|"American plum"|"22273287"|"116195775"
|7.6||"ELAN"|"Elaeagnus angustifolia"|"Russian olive"|"22273287"|"116195776"
|7.6||"MAPO"|"Maclura pomifera"|"bois d'arc"|"22273287"|"116195777"
|5||"CERCI2"|"Cercis"|"redbud"|"22273437"|"116195778"
|6||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"22273437"|"116195779"
|5||"JUSC2"|"Juniperus scopulorum"|"Rocky Mountain juniper"|"22273437"|"116195780"
|6||"MORU2"|"Morus rubra"|"red mulberry"|"22273437"|"116195781"
|3||"PRAM"|"Prunus americana"|"American plum"|"22273437"|"116195782"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"22273437"|"116195783"
|2||"RHTR"|"Rhus trilobata"|"skunkbush sumac"|"22273437"|"116195784"
|6||"MAPO"|"Maclura pomifera"|"osageorange"|"22273437"|"116195785"
|6||"ROPS"|"Robinia pseudoacacia"|"black locust"|"22273437"|"116195786"
|6||"PLOR80"|"Platycladus orientalis"|"oriental arborvitae"|"22273437"|"116195787"
|2||"SYVU"|"Syringa vulgaris"|"common lilac"|"22273437"|"116195788"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"22273895"|"116195872"
|7.9||"ULPA"|"Ulmus parvifolia"|"Chinese elm"|"22273895"|"116195873"
|8.5||"ROPS"|"Robinia pseudoacacia"|"black locust"|"22273895"|"116195874"
|18.3||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"22273895"|"116195875"
|7.9||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"22273895"|"116195876"
|10.7||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"22273895"|"116195877"
|7.9||"CEOC"|"Celtis occidentalis"|"common hackberry"|"22273895"|"116195878"
|3.7||"PRAM"|"Prunus americana"|"American plum"|"22273895"|"116195879"
|7.6||"ELAN"|"Elaeagnus angustifolia"|"Russian olive"|"22273895"|"116195880"
|7.6||"MAPO"|"Maclura pomifera"|"bois d'arc"|"22273895"|"116195881"
|3.7||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"22273895"|"116195882"
