clay%_mu,mukey
14.25,565058
11.9,565059
11.9,565060
13.3,565061
14.4,565062
14.4,565063
11.0,565064
12.15,565065
15.75,565066
14.025,565067
54.0,565068
17.6,565069
9.0,565070
9.9,565071
17.85,565072
42.5,565073
8.075,565074
15.75,565075
15.75,565076
11.0,565077
9.35,565078
11.5,565079
17.575,565080
9.025,565081
9.025,565082
8.5,565083
11.25,565084
11.875,565085
47.5,565086
10.2,565087
15.725,565088
15.725,565089
7.225,565090
15.725,565091
0.0,565092
0.0,565093
0.0,1602154
30.0,565248
30.0,565249
13.045,565250
14.65,565251
16.65,565252
16.65,565253
26.4,565254
16.4,565255
16.65,565256
16.65,565257
12.245000000000001,565258
11.7,565259
14.875,565260
14.875,565261
11.9,565262
11.9,565263
11.9,565264
12.6,565265
12.6,565266
12.6,565267
0.0,565268
16.65,565269
12.15,565270
0.0,565271
15.75,565272
14.45,565273
14.45,565274
28.425,565275
54.0,565276
51.0,565277
22.5,565278
40.0,565279
42.5,565280
6.375,565281
45.0,565282
42.5,565283
0.0,565284
10.8,565285
0.0,1674434
0.0,1674435
49.875,1674436
0.0,564185
37.7,564186
5.4,564187
17.425,564188
17.425,564189
27.625,564190
19.125,564191
46.75,564192
11.0,564193
0.0,564194
14.45,564195
40.375,564196
40.375,564197
22.5,564198
54.0,564199
17.85,564200
40.0,564201
15.75,564202
15.75,564203
59.184999999999995,564204
29.75,564205
17.125,564206
44.25,564207
44.0,564208
48.875,564209
48.875,564210
51.75,564211
10.925,564212
0.0,564213
0.0,1011977
0.0,1011978
14.25,565443
13.5,565444
12.75,565445
17.6,565446
12.0,565447
8.5,565448
8.5,565449
16.65,565450
15.725,565451
15.725,565452
15.725,565453
11.9,565454
11.9,565455
11.9,565456
14.0,565457
14.0,565458
12.3,565459
11.0,565460
12.15,565461
15.75,565462
17.575,565463
12.375,565464
54.0,565465
9.0,565466
17.85,565467
40.0,565468
15.75,565469
15.75,565470
17.5,565471
17.5,565472
17.5,565473
7.0,565474
12.5,565475
9.025,565476
9.025,565477
14.25,565478
11.875,565479
12.5,565480
4.55,565481
0.0,565482
0.0,565483
0.0,1690221
0.0,1690222
0.0,1690223
0.0,1690251
